"রাসূল (সা.) কোন হিজরী সনে বিদায় হজ্জে রওয়ানা হন?","দশম হিজরী সনে হযরত (সা.) বিদায় হজ্জের উদ্দেশ্যে রওয়ানা হন।"
"হযরত (সা.) কবে মক্কায় পৌঁছান?","জিলহজ্জ মাসের চার তারিখে হযরত (সা.) মক্কায় পৌঁছান।"
"মক্কায় প্রবেশের পর রাসূল (সা.) প্রথম কী কাজ করেন?","প্রথমেই তিনি কা’বা শরীফ তাওয়াফ করেন।"
"মাকামে ইবরাহীমে হযরত (সা.) কী করেন?","তিনি দু’ রাকাত নামাজ আদায় করেন।"
"সাফা ও মারওয়া পাহাড়ের মধ্যকার কাজকে কী বলা হয়?","সাফা ও মারওয়া পাহাড়ের মধ্যকার চলাফেরা বা সাঈ।"
"রাসূল (সা.) কোন দিনে মিনায় অবস্থান করেন?","জিলহজ্জের আট তারিখ বৃহস্পতিবার তিনি মিনায় অবস্থান করেন।"
"আরাফাতে গিয়ে হযরত (সা.) কী করেন?","তিনি ঐতিহাসিক বিদায় হজ্জের ভাষণ প্রদান করেন।"
"বিদায় হজ্জের ভাষণে জাহিলী যুগ সম্পর্কে হযরত (সা.) কী ঘোষণা দেন?","তিনি বলেন, জাহিলী যুগের সমস্ত প্রথা ও বিধান তাঁর পায়ের নিচে ফেলা হয়েছে।"
"আরব ও অনারবের মধ্যে হযরত (সা.) কী সমতা ঘোষণা করেন?","তিনি বলেন, অনারবের উপর আরবের ও আরবের উপর অনারবের কোনো শ্রেষ্ঠত্ব নেই; তাকওয়াই একমাত্র মর্যাদার ভিত্তি।"
"বিদায় হজ্জের ভাষণে হযরত (সা.) মুসলমানদের পারস্পরিক সম্পর্ক সম্পর্কে কী বলেন?","তিনি বলেন, মুসলমানরা পরস্পর ভাই ভাই।"
"হযরত (সা.) দাসদের সম্পর্কে কী নির্দেশ দেন?","তোমরা নিজেরা যা খাবে, তাই তাদের খাওয়াবে; যা পরবে, তাই তাদের পরতে দেবে।"
