🔓 <b>What does the <code>public</code> access modifier mean in a class?</b>,"<b>🧠 Emotional Hook:</b> Imagine a public notice board that everyone can see and write on.<br><br><b>📘 Explanation:</b> Public properties and methods are accessible from anywhere — inside or outside the class.<br><br><b>💻 Example:</b><br>```ts<br>class MyClass {<br>  public name: string = 'Default';<br>}<br><br>const obj = new MyClass();<br>obj.name = 'Hello';<br>console.log(obj.name); // Hello<br>```<br><br><b>🔄 Analogy:</b> Like your phone number you share openly — anyone can reach out."

🔒 <b>What does the <code>private</code> access modifier do?</b>,"<b>🧠 Emotional Hook:</b> Think of a diary locked with a key — only you can open it.<br><br><b>📘 Explanation:</b> Private members can only be accessed within the class they are defined in. Not even subclasses can reach them directly.<br><br><b>💻 Example:</b><br>```ts<br>class MyClass {<br>  private secret: string = 'hidden';<br>}<br><br>const obj = new MyClass();<br>console.log(obj.secret); // ❌ Error: Property 'secret' is private<br>```<br><br><b>🔄 Analogy:</b> Like your bank PIN — even your best friend can’t see it."

🔏 <b>What does <code>readonly</code> do when used with <code>public</code>?</b>,"<b>🧠 Emotional Hook:</b> Like your birth certificate — visible but unchangeable.<br><br><b>📘 Explanation:</b> Readonly properties can be read from anywhere, but cannot be reassigned after the object is initialized.<br><br><b>💻 Example:</b><br>```ts<br>class MyClass {<br>  public readonly id: number;<br><br>  constructor(id: number) {<br>    this.id = id;<br>  }<br>}<br><br>const obj = new MyClass(1);<br>obj.id = 2; // ❌ Error: Cannot assign to 'id' because it is a read-only property<br>```<br><br><b>🔄 Analogy:</b> Like a serial number etched onto your phone — you can read it, but not change it."

💰 <b>Why is <code>_balance</code> private in <code>BankAccount</code>?</b>,"<b>🧠 Emotional Hook:</b> Protecting your money from sneaky changes.<br><br><b>📘 Explanation:</b> By making <code>_balance</code> private, you ensure that only trusted methods within the class can change or read it, helping enforce data integrity.<br><br><b>💻 Example:</b><br>```ts<br>class BankAccount {<br>  private _balance: number = 0;<br><br>  addDeposit(amount: number) {<br>    if (amount > 0) this._balance += amount;<br>  }<br><br>  getBalance(): number {<br>    return this._balance;<br>  }<br>}<br><br>const account = new BankAccount();<br>account.addDeposit(100);<br>console.log(account.getBalance()); // 100<br>```<br><br><b>🔄 Analogy:</b> Like a vault — only trusted procedures can open it."

🎓 <b>Can <code>StudentAccount</code> access <code>_balance</code> directly?</b>,"<b>🧠 Emotional Hook:</b> Like trying to peek into your parent's locked diary — not happening.<br><br><b>📘 Explanation:</b> No, because <code>_balance</code> is private to <code>BankAccount</code>. Even subclasses like <code>StudentAccount</code> can't access it directly.<br><br><b>💻 Example:</b><br>```ts<br>class BankAccount {<br>  private _balance: number = 0;<br><br>  protected getBalance(): number {<br>    return this._balance;<br>  }<br>}<br><br>class StudentAccount extends BankAccount {<br>  showBalance() {<br>    // return this._balance; // ❌ Error: '_balance' is private<br>    return this.getBalance(); // ✅ Allowed via a protected method<br>  }<br>}<br><br>const sa = new StudentAccount();<br>console.log(sa.showBalance());<br>```<br><br><b>🔄 Analogy:</b> You can’t open your parent's locked diary, but they might read from it to you."
"Question","Answer"
