"🏷️ <b>What is a Class?</b>","A blueprint to create objects with properties and methods.<br><br><code>class Animal {<br>&nbsp;&nbsp;name: string;<br>&nbsp;&nbsp;sound: string;<br><br>&nbsp;&nbsp;constructor(name: string, sound: string) {<br>&nbsp;&nbsp;&nbsp;&nbsp;this.name = name;<br>&nbsp;&nbsp;&nbsp;&nbsp;this.sound = sound;<br>&nbsp;&nbsp;}<br><br>&nbsp;&nbsp;makeSound() {<br>&nbsp;&nbsp;&nbsp;&nbsp;console.log(`${this.name} says ${this.sound}`);<br>&nbsp;&nbsp;}<br>}</code><br><br>💡 Think of it like a cookie cutter 🍪 — you can create many cookies (objects) from one cutter (class)."

"🧱 <b>What does the constructor() do?</b>","It initializes an object’s properties when the object is created using <code>new</code>.<br><br><code>class Car {<br>&nbsp;&nbsp;brand: string;<br><br>&nbsp;&nbsp;constructor(brand: string) {<br>&nbsp;&nbsp;&nbsp;&nbsp;this.brand = brand;<br>&nbsp;&nbsp;}<br><br>&nbsp;&nbsp;drive() {<br>&nbsp;&nbsp;&nbsp;&nbsp;console.log(`${this.brand} is driving.`);<br>&nbsp;&nbsp;}<br>}<br><br>const tesla = new Car(\"Tesla\");<br>tesla.drive(); // Tesla is driving.</code><br><br>💡 Analogy: Like setting up a new employee’s ID card, name, and department on Day 1."

"🔓 <b>What does 'public' mean in TypeScript?</b>","It makes the property or method accessible from outside the class.<br><br><code>class Person {<br>&nbsp;&nbsp;public name: string;<br><br>&nbsp;&nbsp;constructor(name: string) {<br>&nbsp;&nbsp;&nbsp;&nbsp;this.name = name;<br>&nbsp;&nbsp;}<br>}<br><br>const p = new Person(\"Alex\");<br>console.log(p.name); // Alex</code><br><br>💡 Example: <code>public name: string</code> means you can do <code>person.name</code> anywhere."

"🔉 <b>What is makeSound() in the class?</b>","A method that defines behavior — in this case, it prints a message based on the animal’s sound.<br><br><code>class Dog {<br>&nbsp;&nbsp;name: string;<br>&nbsp;&nbsp;sound: string;<br><br>&nbsp;&nbsp;constructor(name: string, sound: string) {<br>&nbsp;&nbsp;&nbsp;&nbsp;this.name = name;<br>&nbsp;&nbsp;&nbsp;&nbsp;this.sound = sound;<br>&nbsp;&nbsp;}<br><br>&nbsp;&nbsp;makeSound() {<br>&nbsp;&nbsp;&nbsp;&nbsp;console.log(`${this.name} goes \"${this.sound}\"`);<br>&nbsp;&nbsp;}<br>}<br><br>const rex = new Dog(\"Rex\", \"Woof!\");<br>rex.makeSound(); // Rex goes \"Woof!\"</code><br><br>💡 Analogy: Like pressing a toy button and hearing it make a noise! 🐶🔊"

"🐾 <b>How to create an object from a class?</b>","Use the <code>new</code> keyword with the class constructor.<br><br><code>class Book {<br>&nbsp;&nbsp;title: string;<br><br>&nbsp;&nbsp;constructor(title: string) {<br>&nbsp;&nbsp;&nbsp;&nbsp;this.title = title;<br>&nbsp;&nbsp;}<br>}<br><br>const myBook = new Book(\"TypeScript 101\");<br>console.log(myBook.title); // TypeScript 101</code><br><br>💡 You’re creating a real object (cookie) from the class (cookie cutter)."

