Topic Number,Subtopic,Slide Title,Content (Definition/Points),Hook/Question,Story/Analogy/Mnemonic,MCQ1;MCQ2;MCQ3,CQ1;CQ2,Video Link,Simulation Link
1,জড়তা,জড়তার হুক,"আপনি কি জানেন যখন আমরা হঠাৎ গাড়ি থামাই, আমরা সামনের দিকে লাফাই?","কেন আমরা গাড়ি থামলে সামনের দিকে ছিটকে পড়ি?","Inertia = বস্তু তার গতিকে বজায় রাখতে চায়। 'Lazy body' analogy: বস্তু অলস, নিজের গতিকে বদলাতে চায়।","জড়তা হলো কি?; কোন বস্তু বেশি জড়তাসম্পন্ন?; জড়তা কি শুধু চলন্ত বস্তুর জন্য?","একটি উদাহরণ দিয়ে ব্যাখ্যা করুন; জড়তার দৈনন্দিন উদাহরণ বলুন","[https://www.youtube.com/watch?v=4bY4t8D5f0I","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=4bY4t8D5f0I%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
1,জড়তা,জড়তার সংজ্ঞা,"জড়তা হলো একটি বস্তু তার গতির অবস্থাকে অক্ষুণ্ণ রাখার প্রবণতা।","কেন ভারী বস্তু সরানো কঠিন?","Heavy object = more inertia; think of a loaded trolley vs empty trolley.","জড়তার সংজ্ঞা কোনটি?; কোনটি বেশি জড়তাসম্পন্ন: বই না টেবিল?; বস্তু কি নিজে থেকে গতি পরিবর্তন করতে পারে?","দৈনন্দিন জীবন থেকে ২টি উদাহরণ লিখুন; জড়তার কোনো খেলার উদাহরণ বলুন","[https://www.youtube.com/watch?v=Wv_6T8J4xjk","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=Wv_6T8J4xjk%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
1,জড়তা,জড়তার উদাহরণ,"- সাইকেল হঠাৎ থামলে সামনের দিকে লাফা

* টেবিলের বই সরানোর চেষ্টা
* লোড করা ট্রলি ধাক্কা খেলে ধীরগতি","আপনি কি কখনো এমন অনুভব করেছেন?","Everyday analogy: lazy body resists change","কোন উদাহরণে জড়তা বেশি?; হঠাৎ থামলে কি হয়?; জড়তা কি শুধু ভারী বস্তুর জন্য?","গাড়ির হঠাৎ থামার উদাহরণ দিন; বই ও ট্রলি উদাহরণ বিশ্লেষণ করুন","[https://www.youtube.com/watch?v=VvZb7b2M2hQ","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=VvZb7b2M2hQ%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
  2,নিউটনের প্রথম সূত্র,নিউটনের প্রথম সূত্রের হুক,"আপনি কি জানেন যে একটি বস্তু তখনই স্থির থাকে বা সমান গতিতে চলে যখন পর্যন্ত কোনো বাহ্যিক বল তা পরিবর্তন করতে না আসে?","কেন একটি বই টেবিলে নিশ্চল থাকে?","Story: বই ও বাতাসের খেলাধুলা; Law of inertia explains why objects resist motion change.","নিউটনের প্রথম সূত্র কী?; কোন উদাহরণে দেখা যায়?; এটি কোন বিজ্ঞানীর নামের সাথে যুক্ত?","একটি বস্তুকে স্থির রাখার উদাহরণ দিন; Law of inertia এর বাস্তব উদাহরণ ব্যাখ্যা করুন","[https://www.youtube.com/watch?v=6V8gpm8c0j0","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=6V8gpm8c0j0%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
  2,নিউটনের প্রথম সূত্র,সংজ্ঞা ও ব্যাখ্যা,"নিউটনের প্রথম সূত্র (Law of Inertia): একটি বস্তু তখনই স্থির থাকে বা সমান গতিতে চলে যতক্ষণ পর্যন্ত কোনো বাহ্যিক বল তা এর গতির অবস্থাকে পরিবর্তন করতে না পারে।","কেন বস্তু নিজের গতি পরিবর্তন করে না?","Mnemonic: INertia = INternal resistance","সংজ্ঞা কি?; কোন বস্তু বেশি Inertia?; Law of inertia কোন পরিস্থিতিতে প্রয়োগ হয়?","রোডে গাড়ি থামার উদাহরণ ব্যাখ্যা করুন; খেলাধুলায় inertia দেখান","[https://www.youtube.com/watch?v=6V8gpm8c0j0","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=6V8gpm8c0j0%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
  2,নিউটনের প্রথম সূত্র,উদাহরণ ও প্রয়োগ,"- বই টেবিলে স্থির
* হঠাৎ থামানো গাড়ি
* সাইকেলে সমান গতিতে চলা","আপনি কি কখনো গাড়ি থামার সময় সামনের দিকে ঝুঁকেছেন?","Practical analogy: seatbelt protects because of inertia","উদাহরণ ১; উদাহরণ ২; উদাহরণ ৩","হঠাৎ থামা গাড়ির উদাহরণ ব্যাখ্যা করুন; বই উদাহরণ বিশ্লেষণ করুন","[https://www.youtube.com/watch?v=VvZb7b2M2hQ","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=VvZb7b2M2hQ%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
  3,বল,বল হুক,"বল হলো বস্তু বা কণার ওপর প্রয়োগিত কোনো বাহ্যিক চাপ যা তার গতি পরিবর্তন করতে পারে।","আপনি কি কখনো ভাবেছেন, কেন বল প্রয়োগ করলে বস্তু চলে?","Push-Pull analogy: বল = সরাসরি চাপ বা টান","বল কী?; কোন উদাহরণে দেখা যায়?; বল কি শুধুমাত্র ধাক্কা?","প্রতিদিনের ২টি উদাহরণ দিন; বল প্রয়োগ করে বস্তু সরানোর উদাহরণ লিখুন","[https://www.youtube.com/watch?v=3k1OCV2h9XI","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=3k1OCV2h9XI%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
  3,বল,সংজ্ঞা ও ব্যাখ্যা,"বল হলো কোনো বস্তু বা কণার ওপর প্রয়োগিত বাহ্যিক চাপ যা তার গতি বা অবস্থাকে পরিবর্তন করতে পারে।","কেন আমরা বল প্রয়োগ করি বস্তু সরাতে?","Analogy: টান বা চাপ দিয়ে বস্তুকে আন্দোলিত করা","সংজ্ঞা কি?; কোন উদাহরণে বল প্রয়োগ হয়?; বল কি সবসময় দেখা যায়?","একটি খেলাধুলার উদাহরণ ব্যাখ্যা করুন; বস্তু সরানোর উদাহরণ দিন","[https://www.youtube.com/watch?v=3k1OCV2h9XI","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=3k1OCV2h9XI%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
  3,বল,উদাহরণ ও প্রয়োগ,"- বই টেবিলে চাপ দেওয়া
* দরজা ধাক্কা দেওয়া
* বল খেলা","আপনি কি কখনো বল খেলার সময় অনুভব করেছেন?","Sports analogy: football or cricket ball","উদাহরণ ১; উদাহরণ ২; উদাহরণ ৩","বল প্রয়োগের প্রভাব ব্যাখ্যা করুন; খেলাধুলায় উদাহরণ দিন","[https://www.youtube.com/watch?v=3k1OCV2h9XI","https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html](https://www.youtube.com/watch?v=3k1OCV2h9XI%22,%22https://phet.colorado.edu/sims/html/forces-and-motion-basics/latest/forces-and-motion-basics_en.html)"
