Front,Back
"🏷️ <b>What is a Class?</b>","A blueprint to create objects with properties and methods.<br><br>💡 Think of it like a cookie cutter 🍪 — you can create many cookies (objects) from one cutter (class)."
"🧱 <b>What does the constructor() do?</b>","It initializes an object’s properties when the object is created using <code>new</code>.<br><br>💡 Analogy: Like setting up a new employee’s ID card, name, and department on Day 1."
"🔓 <b>What does 'public' mean in TypeScript?</b>","It makes the property or method accessible from outside the class.<br><br>💡 Example: <code>public name: string</code> means you can do <code>dog.name</code> anywhere."
"🔉 <b>What is makeSound() in the class?</b>","A method that defines behavior — in this case, it prints a message based on the animal’s sound.<br><br>💡 Analogy: Like pressing a toy button and hearing it make a noise!"
"🐾 <b>How to create an object from a class?</b>","Use the <code>new</code> keyword: <code>const dog = new Animal(...)</code><br><br>💡 You’re creating a real object (cookie) from the class (cookie cutter)."
"📣 <b>What does this.sound refer to?</b>","It refers to the <code>sound</code> property of the current object.<br><br>💡 <code>this</code> always points to the object calling the method."
Front,Back
🧬 <b>What is class inheritance?</b>,"<b>🧠 Emotional Hook:</b> Imagine a child inheriting traits from their parents — same happens in code!<br><br><b>📘 Definition:</b> Inheritance lets one class (child) use properties and methods from another class (parent).<br><br><b>💻 Example:</b><br>```ts<br>class Student extends Person {}<br>```<br><br><b>🔄 Analogy:</b><br>It’s like a student inheriting discipline and bedtime from their parent — no need to re-teach!"
🧱 <b>What is the 'extends' keyword used for?</b>,"<b>🧠 Emotional Hook:</b> Think of it like saying: 'I want to be everything my parent is... and maybe more!'<br><br><b>📘 Definition:</b> <code>extends</code> is used to inherit from a parent class.<br><br><b>💻 Example:</b><br>```ts<br>class Teacher extends Person {}<br>```"
🚀 <b>What does 'super()' do in a constructor?</b>,"<b>🧠 Emotional Hook:</b> Like calling your parent's constructor to make sure the house is ready before moving in! 🏠<br><br><b>📘 Definition:</b> <code>super()</code> calls the constructor of the parent class.<br><br><b>💻 Example:</b><br>```ts<br>constructor(...) {<br>  super(name, age, address);<br>}<br>```"
🗣️ <b>Can inherited classes use parent methods?</b>,"<b>📘 Yes!</b> Children classes can use all public or protected methods of their parent.<br><br><b>💻 Example:</b><br>```ts<br>student1.getSleep(6);<br>```<br><br><b>💡 Analogy:</b> Like knowing family recipes — even if you didn’t write them, you can cook them!"
🎓 <b>How does a subclass add its own properties or methods?</b>,"<b>🧠 Emotional Hook:</b> A child can have unique traits that the parent doesn’t!<br><br><b>📘 Explanation:</b> Just define new properties/methods in the child class.<br><br><b>💻 Example:</b><br>```ts<br>class Teacher extends Person {<br>  designation: string;<br>  takeClass(num: number) {...}<br>}<br>```"
