Front,Back
"<b>Topic: পুষ্টি ও ওষুধের মিথস্ক্রিয়া সংজ্ঞা (Definitions)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>Define:</b> What is Nutrient-Drug Interaction?<br>2. <b>Distinguish:</b> Difference between Drug-Nutrient Interaction and Food-Drug Interaction.<br>3. <b>Concept:</b> Why is it called a ""biochemical or physiological influence""?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>নিউট্রিয়েন্ট-ড্রাগ ইন্টারঅ্যাকশন হলো যখন খাবার বা পুষ্টি উপাদান ওষুধের কাজে বাধা দেয় বা সাহায্য করে।<br>১. <b>Drug-Nutrient Interaction:</b> ওষুধ এবং একটি নির্দিষ্ট পুষ্টির (যেমন ভিটামিন বা মিনারেল) মধ্যকার বিক্রিয়া।<br>২. <b>Food-Drug Interaction:</b> এটি আরও বড় বিষয়। এতে ওষুধ কীভাবে পুরো খাবারের সাথে বিক্রিয়া করে বা ওষুধ কীভাবে শরীরের পুষ্টির অবস্থা (Nutritional Status) বদলে দেয় তা বোঝায়।<br><br><b>First Principles Thinking:</b><br>শরীর একটি রাসায়নিক ল্যাব &#8594; ওষুধ একটি কেমিক্যাল &#8594; খাবারও কেমিক্যালের মিশ্রণ &#8594; তাই দুটি একসাথে মিশলে নতুন কিছু ঘটবেই (Interaction) &#8594; যা ভালো বা খারাপ হতে পারে।<br><br><b>Analogy (Bizarreness Effect):</b><br>ড্রাগ-নিউট্রিয়েন্ট ইন্টারঅ্যাকশন হলো ""দুধ ও লেবুর রস"" মেশানোর মতো। আলাদাভাবে দুটোই ভালো, কিন্তু একসাথে মিশলে ছানা হয়ে যায় (Reaction)।<br><br><b>Example:</b><br>দুধের ক্যালসিয়াম টেট্রাসাইক্লিন অ্যান্টিবায়োটিকের সাথে মিশলে ওষুধটি কাজ করে না।<br><br><b>See–Link–Animate:</b><br>একটি ক্যাপসুল এবং একটি আপেল কুস্তি করছে। ক্যাপসুলটি আপেলকে ঘুষি মারছে (Drug affecting nutrient) আবার আপেলটি ক্যাপসুলকে গিলে ফেলছে (Food affecting drug)।"
"<b>Topic: খাদ্য গ্রহণে ওষুধের প্রভাব (Drug Effects on Food Intake)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>List:</b> Mention drugs that increase and decrease appetite.<br>2. <b>Side Effect:</b> How do cardiac glycosides affect food intake?<br>3. <b>Mechanism:</b> Why do chelating agents cause taste changes?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>কিছু ওষুধ ক্ষুধা বাড়ায় (যেমন: স্টেরয়েড, অ্যান্টিহিস্টামিন), আবার কিছু কমায় (যেমন: ইনসুলিন, অ্যালকোহল)। কিছু ওষুধ মুখে বিস্বাদ তৈরি করে (যেমন: ডাইউরেটিকস), আবার কিছু বমি ভাব (Nausea) করায় (যেমন: কার্ডিয়াক গ্লাইকোসাইড)।<br><br><b>First Principles Thinking:</b><br>ওষুধ মস্তিষ্কের ক্ষুধা নিয়ন্ত্রণ কেন্দ্রে (Hypothalamus) প্রভাব ফেলে &#8594; তাই ক্ষুধা বাড়ে বা কমে। আবার কিছু ওষুধ জিহ্বার স্বাদ কোরক (Taste buds) নষ্ট করে দেয় &#8594; তাই খাবারের স্বাদ লাগে না।<br><br><b>Analogy (Bizarreness Effect):</b><br>কিছু ওষুধ হলো ""রাক্ষস"" (Appetite Stimulant) যা আপনাকে সব খেতে বাধ্য করে। আর কিছু ওষুধ হলো ""মুখে তিতা লেপ"" (Taste change) যা আপনাকে খাবার থেকে দূরে রাখে।<br><br><b>Example:</b><br>ক্যান্সারের চিকিৎসায় ব্যবহৃত ওষুধ (Chemotherapy) বমি ভাব করায় বলে রোগীরা খেতে পারে না।<br><br><b>See–Link–Animate:</b><br>একজন লোক প্যাকম্যানের মতো হা করে সব খাবার খাচ্ছে (Increased appetite), আর পাশের জন খাবারের থালা দেখলেই বমি করছে (Nausea)।"
"<b>Topic: ফার্মাকোকিনেটিক্স ও ডায়নামিক্স (Pharmacokinetics vs Pharmacodynamics)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>Define:</b> What is Pharmacokinetics?<br>2. <b>Define:</b> What is Pharmacodynamics?<br>3. <b>Distinguish:</b> Difference between ""movement of drug"" and ""action of drug"".","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br><b>Pharmacokinetics:</b> ওষুধ শরীরের ভেতরে কী করে (Movement)। এটি ৪টি ধাপে হয়: শোষণ (Absorption), ছড়িয়ে পড়া (Distribution), ভাঙা (Metabolism), এবং বের হওয়া (Excretion)।<br><b>Pharmacodynamics:</b> ওষুধ শরীরের ওপর কী প্রভাব ফেলে (Action)। এটি রিসেপ্টরের সাথে যুক্ত হয়ে কাজ করে।<br><br><b>First Principles Thinking:</b><br>Kinetics = গতি (Movement) &#8594; ওষুধ শরীরে ঢোকা থেকে বের হওয়া পর্যন্ত যাত্রা।<br>Dynamics = শক্তি (Power/Action) &#8594; ওষুধ কোষের ভেতরে গিয়ে কী পরিবর্তন ঘটায়।<br><br><b>Analogy (Bizarreness Effect):</b><br>Pharmacokinetics হলো ""পিৎজা ডেলিভারি"" (পিৎজা কীভাবে দোকান থেকে আপনার পেটে গেল)।<br>Pharmacodynamics হলো ""পিৎজা খাওয়ার আনন্দ"" (পিৎজা খাওয়ার পর আপনার শরীরে কী অনুভূতি হলো)।<br><br><b>Example:</b><br>প্যারাসিটামল রক্তে মিশে লিভারে যাওয়া হলো কিনেটিক্স, আর ব্যথা কমানো হলো ডায়নামিক্স।<br><br><b>See–Link–Animate:</b><br>একটি ছোট গাড়ি (Drug) শরীরের রাস্তা দিয়ে চলছে (Kinetics) এবং গন্তব্যে পৌঁছে একটি বোতাম টিপে দিচ্ছে (Dynamics)।"
"<b>Topic: শোষণ বা অ্যাবসর্পশন (Absorption)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>Factors:</b> What factors affect drug absorption?<br>2. <b>Interaction:</b> How does milk affect stomach pH and drug absorption?<br>3. <b>Mechanism:</b> Why should Tetracycline not be taken with dairy?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>অ্যাবসর্পশন হলো ওষুধ রক্তে মেশার প্রক্রিয়া। দুধ পাকস্থলীর এসিড কমিয়ে দেয় (pH বাড়ায়), ফলে এসিডে দ্রবণীয় ওষুধ ঠিকমতো মিশতে পারে না। এছাড়া দুধের ক্যালসিয়াম কিছু ওষুধের সাথে (যেমন: টেট্রাসাইক্লিন) যুক্ত হয়ে জটলা পাকায় (Chelation), যা শরীর শোষণ করতে পারে না।<br><br><b>First Principles Thinking:</b><br>ওষুধ রক্তে মিশতে হলে তাকে গলতে হবে &#8594; পাকস্থলীর এসিড ওষুধ গলাতে সাহায্য করে &#8594; দুধ সেই এসিড কমিয়ে দেয় &#8594; তাই ওষুধ গলে না এবং কাজ করে না।<br><br><b>Analogy (Bizarreness Effect):</b><br>দুধ হলো ""আঠা""। সে টেট্রাসাইক্লিনকে ধরে ফেলে এবং দুজনে মিলে একটি বড় পাথর (Complex) হয়ে যায়। পাথরটি অন্ত্রের ছিদ্র দিয়ে রক্তে ঢুকতে পারে না।<br><br><b>Example:</b><br>সিপ্রোফ্লক্সাসিন (অ্যান্টিবায়োটিক) দুধ বা দইয়ের সাথে খেলে কাজ করে না।<br><br><b>See–Link–Animate:</b><br>পাকস্থলীতে দুধের কণাগুলো হাত ধরাধরি করে ওষুধের কণাগুলোকে ঘিরে ফেলেছে এবং জেলখানায় বন্দি করে রেখেছে।"
"<b>Topic: ড্রাগ ও নিউট্রিয়েন্ট শোষণে প্রভাব (Drug Effects on Nutrient Absorption)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>Increase:</b> Which drugs increase nutrient absorption?<br>2. <b>Decrease:</b> Name drugs that decrease nutrient absorption.<br>3. <b>Mechanism:</b> How do laxatives affect nutrient uptake?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>কিছু ওষুধ পুষ্টি শোষণ বাড়ায় (যেমন: সিমেটিডিন)। কিন্তু বেশিরভাগ কমায়। ল্যাক্সেটিভ (Laxative) খাবারকে খুব দ্রুত অন্ত্র দিয়ে বের করে দেয়, ফলে শরীর পুষ্টি শোষণের সময় পায় না। অ্যান্টিবায়োটিক (যেমন: নিওমাইসিন) অন্ত্রের দেওয়াল ক্ষতিগ্রস্থ করে শোষণ কমায়।<br><br><b>First Principles Thinking:</b><br>শোষণের জন্য সময় দরকার &#8594; ল্যাক্সেটিভ সেই সময় কমিয়ে দেয় (দ্রুত বের করে)। আবার শোষণের জন্য সুস্থ দেওয়াল দরকার &#8594; কিছু ওষুধ সেই দেওয়াল নষ্ট করে দেয়।<br><br><b>Analogy (Bizarreness Effect):</b><br>ল্যাক্সেটিভ হলো ""স্লাইড""। খাবার পেটে ঢুকেই স্লাইড দিয়ে সুড়সুড় করে নিচে পড়ে যায়, শরীর তাকে ধরার সুযোগই পায় না।<br><br><b>Example:</b><br>দীর্ঘদিন ল্যাক্সেটিভ ব্যবহার করলে ভিটামিন ডি এবং ক্যালসিয়ামের অভাব হয়।<br><br><b>See–Link–Animate:</b><br>খাবারের কণাগুলো অন্ত্রের নদীতে সাঁতার কাটছে, হঠাৎ ল্যাক্সেটিভের বন্যায় তারা সবাই ভেসে চলে গেল।"
Front,Back
"<b>Topic: নির্দিষ্ট ওষুধের সাথে পুষ্টির মিথস্ক্রিয়া (Specific Drug-Nutrient Interactions)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>List:</b> Which nutrients are affected by Antacids and Corticosteroids?<br>2. <b>Mechanism:</b> How does Methotrexate cause Megaloblastic Anemia?<br>3. <b>Effect:</b> What is the impact of Isoniazid (INH) on Pyridoxine (Vitamin B6)?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>অ্যান্টাসিড ফসফেট শোষণ কমায়, ফলে হাড় দুর্বল হয় (Osteomalacia)। কর্টিকোস্টেরয়েড ক্যালসিয়াম শোষণ কমায়, হাড়ের ক্ষতি করে। মেথোট্রেক্সেট ফোলেট (Folate) তৈরি হতে দেয় না, তাই রক্তস্বল্পতা হয়। আইসোনিয়াজিড (টিবি ওষুধ) ভিটামিন বি৬ এর সাথে মিশে তাকে নষ্ট করে, ফলে স্নায়ুর ক্ষতি (Neuropathy) হয়।<br><br><b>First Principles Thinking:</b><br>হাড়ের জন্য ক্যালসিয়াম ও ফসফরাস লাগে &#8594; অ্যান্টাসিড ও স্টেরয়েড এগুলো শোষণ হতে দেয় না &#8594; তাই হাড় দুর্বল হয়। আবার রক্ত তৈরির জন্য ফোলেট লাগে &#8594; মেথোট্রেক্সেট ফোলেট এনজাইম ব্লক করে &#8594; তাই রক্ত হয় না।<br><br><b>Analogy (Bizarreness Effect):</b><br>আইসোনিয়াজিড হলো ""বি৬ চোর""। সে শরীরের সব বি৬ চুরি করে পালিয়ে যায়, ফলে নার্ভগুলো ক্ষুধার্ত হয়ে চিৎকার করে (ব্যথা/Neuropathy)।<br><br><b>Example:</b><br>যারা টিবি ওষুধ খায়, তাদের অবশ্যই ভিটামিন বি৬ সাপ্লিমেন্ট খেতে হয়।<br><br><b>See–Link–Animate:</b><br>একটি হাড়ের ভেতর থেকে অ্যান্টাসিড হাতুড়ি দিয়ে ক্যালসিয়াম বের করে দিচ্ছে, আর হাড়টি ধীরে ধীরে নরম হয়ে বাঁকা হয়ে যাচ্ছে।"
"<b>Topic: ড্রাগ মেটাবলিজম ও খাবার (Drug Metabolism & Food)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>Role:</b> What is the role of Cytochrome P-450 in drug metabolism?<br>2. <b>Interaction:</b> Why is Grapefruit juice dangerous with certain drugs?<br>3. <b>Mechanism:</b> How do steroids induce metabolic enzymes?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>লিভারের সাইটোক্রোম পি-৪৫০ (Cytochrome P-450) এনজাইম ওষুধ ভেঙে শরীর থেকে বের করে দেয়। গ্রেপফ্রুট জুস এই এনজাইমকে থামিয়ে দেয়। ফলে ওষুধ ভাঙে না এবং রক্তে ওষুধের পরিমাণ বেড়ে বিষক্রিয়া (Toxic reaction) হতে পারে। স্টেরয়েড উল্টো কাজ করে—এটি এনজাইম বাড়িয়ে দেয়, ফলে গ্লুকোজ বেড়ে যায় এবং পেশী ক্ষয় হয়।<br><br><b>First Principles Thinking:</b><br>লিভার হলো ""বর্জ্য শোধনাগার"" &#8594; এনজাইম হলো ""কর্মী"" &#8594; গ্রেপফ্রুট জুস কর্মীদের হাত বেঁধে রাখে &#8594; তাই ওষুধ (বর্জ্য) শরীরে জমে যায় এবং ক্ষতি করে।<br><br><b>Analogy (Bizarreness Effect):</b><br>গ্রেপফ্রুট জুস হলো ""ট্রাফিক জ্যাম""। সে এনজাইমের রাস্তায় জ্যাম লাগিয়ে দেয়, ফলে ওষুধের গাড়িগুলো লিভার পার হতে পারে না এবং রক্তে ভিড় করে অ্যাকসিডেন্ট ঘটায়।<br><br><b>Example:</b><br>উচ্চ রক্তচাপের ওষুধ (HTN drugs) খাওয়ার সময় গ্রেপফ্রুট জুস খেলে প্রেশার মারাত্মক কমে যেতে পারে।<br><br><b>See–Link–Animate:</b><br>লিভারের কারখানায় গ্রেপফ্রুট জুস তালা লাগিয়ে দিয়েছে, আর বাইরে ওষুধের বস্তা জমে পাহাড় হয়ে যাচ্ছে।"
"<b>Topic: রেচন বা এক্সক্রিশন (Excretion)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>Factor:</b> How does urinary pH affect drug excretion?<br>2. <b>Interaction:</b> Explain the interaction between Cranberry juice and Sulfonamides.<br>3. <b>Route:</b> What is the major route of drug elimination?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>ওষুধ কিডনি দিয়ে প্রস্রাবের সাথে বের হয়। প্রস্রাবের এসিডিটি (pH) কম-বেশি হলে ওষুধ বের হওয়া প্রভাবিত হয়। ক্র্যানবেরি জুস প্রস্রাবকে এসিডিক করে, ফলে সালফোনামাইড জাতীয় ওষুধ দ্রুত গলে যায় এবং বেরিয়ে যায়।<br><br><b>First Principles Thinking:</b><br>ওষুধ বের হতে হলে তাকে পানিতে (প্রস্রাবে) মিশতে হবে &#8594; কিছু ওষুধ এসিডে মেশে, কিছু ক্ষারে &#8594; জুস খেয়ে প্রস্রাবের ধরণ পাল্টালে ওষুধ বের হওয়ার গতিও পাল্টাবে।<br><br><b>Analogy (Bizarreness Effect):</b><br>কিডনি হলো ""ছাঁকনি""। ক্র্যানবেরি জুস ছাঁকনির ছিদ্রগুলো পিচ্ছিল করে দেয় (pH change), ফলে সালফোনামাইড ওষুধটি সুড়সুড় করে বেরিয়ে যায়।<br><br><b>Example:</b><br>লাইম জুস (লেবু) প্রস্রাবকে সবচেয়ে বেশি এসিডিক করে।<br><br><b>See–Link–Animate:</b><br>কিডনির স্লাইড দিয়ে লাল রঙের ক্র্যানবেরি জুস গড়িয়ে পড়ছে এবং সাথে করে ওষুধের কণাগুলোকে ভাসিয়ে নিয়ে যাচ্ছে।"
