Front,Back
"<b>Topic: পুষ্টি জরিপের উদ্দেশ্য (Objectives of a Nutrition Survey)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>What:</b> What are the main objectives of a baseline nutrition survey?<br>2. <b>Why:</b> Why is it important to assess the poverty factors along with nutritional status?<br>3. <b>How:</b> How does a survey help in the 'Project Cycle'?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>পুষ্টি জরিপ বা সার্ভে করার মূল উদ্দেশ্য হলো একটি এলাকার মানুষের পুষ্টির অবস্থা (Nutritional Status) এবং তাদের দারিদ্র্যের কারণগুলো খুঁজে বের করা। এটি প্রজেক্টের শুরুতে করা হয় যাতে বোঝা যায় কোথায় কাজ করতে হবে এবং শেষে করা হয় যাতে বোঝা যায় প্রজেক্টটি সফল হলো কিনা।<br><br><b>First Principles Thinking:</b><br>সমস্যা সমাধান করতে হলে আগে সমস্যাটি জানতে হবে &#8594; পুষ্টিহীনতা একটি সমস্যা &#8594; তাই জরিপ করে এর কারণ ও মাত্রা মাপা হয় &#8594; এরপর সমাধানের পরিকল্পনা (Intervention) করা হয়।<br><br><b>Analogy (Bizarreness Effect):</b><br>বেসলাইন সার্ভে হলো ডাক্তারের কাছে যাওয়ার মতো। ডাক্তার ওষুধ (Intervention) দেওয়ার আগে যেমন রক্ত পরীক্ষা (Survey) করে দেখেন সমস্যা কোথায়, তেমনি প্রজেক্ট শুরু করার আগে সার্ভে করে দেখা হয় সমাজের ""স্বাস্থ্য"" কেমন।<br><br><b>Example:</b><br>একটি এলাকায় ভিটামিন-এ এর অভাব আছে কিনা তা জানার জন্য সার্ভে করা।<br><br><b>See–Link–Animate:</b><br>ভাবুন আপনি একটি বিশাল আতশ কাঁচ (Magnifying glass) দিয়ে একটি গ্রামের দিকে তাকাচ্ছেন এবং দেখছেন কার কার পুষ্টি কম—এটাই সার্ভে।"
"<b>Topic: জরিপের প্রকারভেদ (Types of Surveys)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>Distinguish:</b> Difference between Rapid Appraisal and Baseline Survey.<br>2. <b>When:</b> When should a Follow-up Survey be conducted?<br>3. <b>What:</b> What is the purpose of a Rapid Assessment?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>সার্ভে প্রধানত চার প্রকার:<br>১. <b>Rapid Appraisal:</b> দ্রুত তথ্য নেওয়া, কোনো মাপজোখ (Anthropometry) ছাড়া।<br>২. <b>Rapid Assessment:</b> মাপজোখ করা হয় কিন্তু খুব বিস্তারিত বা সঠিক স্যাম্পলিং নাও হতে পারে।<br>৩. <b>Baseline Survey:</b> প্রজেক্টের শুরুতে বিস্তারিত তথ্য নেওয়া (সবচেয়ে গুরুত্বপূর্ণ)।<br>৪. <b>Follow-up Survey:</b> প্রজেক্টের শেষে ফলাফল দেখার জন্য।<br><br><b>First Principles Thinking:</b><br>সময়ের সাথে তথ্যের গভীরতা বাড়ে &#8594; শুরুতে হালকা ধারণা (Rapid) &#8594; কাজের শুরুতে গভীর জ্ঞান (Baseline) &#8594; কাজের শেষে ফলাফল যাচাই (Follow-up)।<br><br><b>Analogy (Bizarreness Effect):</b><br>Rapid Appraisal হলো ""উঁকি দেওয়া""। Baseline Survey হলো ""পুরো ঘর তন্ন তন্ন করে খোঁজা""। আর Follow-up Survey হলো ""কাজ শেষে চেক করা সবকিছু ঠিক আছে কিনা""।<br><br><b>Example:</b><br>বন্যা বা দুর্যোগের পর দ্রুত পরিস্থিতি বুঝতে Rapid Assessment করা হয়।<br><br><b>See–Link–Animate:</b><br>একজন দৌড়বিদ (Rapid) দ্রুত মাঠ পার হয়ে গেল, আর একজন বিজ্ঞানী (Baseline) ধীরে ধীরে মাটি পরীক্ষা করে দেখছে।"
"<b>Topic: তথ্য সংগ্রহের উৎস (Data Collection Sources)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>List:</b> List three sources of existing information before starting a survey.<br>2. <b>Why:</b> Why is ""Structural Data"" (e.g., rainfall, GDP) important for nutrition surveys?<br>3. <b>How:</b> How can qualitative methods (Focus Group Discussion) complement quantitative data?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>মাঠে নামার আগেই কিছু তথ্য সংগ্রহ করতে হয়। উৎসগুলো হলো:<br>১. <b>বৈজ্ঞানিক সাহিত্য (Scientific Literature):</b> আগের গবেষণা।<br>২. <b>প্রতিষ্ঠান (Institutions):</b> সরকারি বা আন্তর্জাতিক সংস্থার রিপোর্ট।<br>৩. <b>স্থানীয় তথ্য (Local Setting):</b> স্থানীয় মানুষের সাথে কথা বলা।<br>৪. <b>কাঠামোগত তথ্য (Structural Data):</b> বৃষ্টিপাত, ফসলের অবস্থা, জিডিপি ইত্যাদি।<br><br><b>First Principles Thinking:</b><br>পুষ্টিহীনতা শূন্যে তৈরি হয় না &#8594; এটি পরিবেশ ও অর্থনীতির ফল &#8594; তাই পুষ্টি বুঝতে হলে বৃষ্টিপাত (ফসল), অর্থনীতি (GDP) এবং আগের ইতিহাস জানতে হবে।<br><br><b>Analogy (Bizarreness Effect):</b><br>সার্ভে করার আগে তথ্য সংগ্রহ করা হলো ""রান্নার আগে বাজার করা""। আপনি যদি মশলা (Literature) আর সবজি (Local data) না কেনেন, তবে রান্না (Survey) হবে না।<br><br><b>Example:</b><br>বৃষ্টিপাত কম হলে ফসল কম হবে, ফলে পুষ্টিহীনতা বাড়বে—এই তথ্য আবহাওয়া অফিস থেকে আগেই পাওয়া যায়।<br><br><b>See–Link–Animate:</b><br>একজন গোয়েন্দা পুরনো ফাইল (Literature) ঘাঁটছেন এবং স্থানীয় চায়ের দোকানে (Local setting) বসে ফিসফিস করে তথ্য নিচ্ছেন।"
"<b>Topic: সার্ভে ডিজাইন ও গ্রুপ (Survey Design & Groups)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>Define:</b> Define Target Group, Risk Group, and Beneficiary Group.<br>2. <b>Why:</b> Why are children (0-59 months) usually selected as the survey group?<br>3. <b>Case Study:</b> A project targets all poor farmers, but only surveys children. Explain why.","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>সবাইকে সার্ভে করা সম্ভব নয়। তাই গ্রুপ ভাগ করা হয়:<br>১. <b>Target Group:</b> যাদের জন্য প্রজেক্ট।<br>২. <b>Risk Group:</b> যারা সবচেয়ে বেশি বিপদে আছে (যেমন: শিশু, গর্ভবতী মা)।<br>৩. <b>Survey Group:</b> যাদের ওপর সরাসরি জরিপ চালানো হয় (সাধারণত ০-৫৯ মাসের শিশু)।<br>শিশুদের বেছে নেওয়া হয় কারণ তারা পুষ্টিহীনতায় সবার আগে ভোগে (Sensitive Indicator)।<br><br><b>First Principles Thinking:</b><br>পুষ্টিহীনতার প্রথম শিকার দুর্বলরা &#8594; শিশুরা সবচেয়ে দুর্বল &#8594; তাই শিশুদের অবস্থা জানলে পুরো সমাজের অবস্থা বোঝা যায়।<br><br><b>Analogy (Bizarreness Effect):</b><br>কয়লা খনিতে যেমন ""ক্যানারি পাখি"" রাখা হতো বাতাস বিষাক্ত কিনা বুঝতে (কারণ তারা আগে মারা যেত), তেমনি শিশুরা হলো সমাজের ""ক্যানারি পাখি""। তাদের স্বাস্থ্য খারাপ মানেই সমাজের অবস্থা খারাপ।<br><br><b>Example:</b><br>একটি গ্রামের সবার পুষ্টি অবস্থা বুঝতে ৫ বছরের কম বয়সী শিশুদের ওজন ও উচ্চতা মাপা হয়।<br><br><b>See–Link–Animate:</b><br>একটি বিশাল ছাতার (Project) নিচে অনেক মানুষ দাঁড়িয়ে আছে, কিন্তু ডাক্তার শুধু ছোট শিশুদের (Survey group) কোলে নিয়ে পরীক্ষা করছেন।"
"<b>Topic: ক্রস-সেকশনাল বনাম লংগিটিউডিনাল (Cross-sectional vs Longitudinal)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>Distinguish:</b> Difference between Cross-sectional and Longitudinal surveys.<br>2. <b>Why:</b> Why is a ""Comparison Group"" (Control Group) needed?<br>3. <b>Ethical Issue:</b> What is the ethical problem with Comparison Groups?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br><b>Cross-sectional:</b> একটি নির্দিষ্ট সময়ে বিভিন্ন মানুষের তথ্য নেওয়া (Snapshot)।<br><b>Longitudinal:</b> একই মানুষের তথ্য বারবার নেওয়া (Video)।<br>প্রজেক্টের প্রভাব বুঝতে একটি ""কম্পারিজন গ্রুপ"" (যাদের প্রজেক্টের সুবিধা দেওয়া হয়নি) রাখা হয়। তবে নৈতিক সমস্যা হলো—তাদের শুধু মাপা হয়, সাহায্য দেওয়া হয় না।<br><br><b>First Principles Thinking:</b><br>প্রজেক্ট কাজ করল কিনা বুঝব কীভাবে? &#8594; যদি প্রজেক্ট এলাকার অবস্থা ভালো হয় আর বাইরের এলাকার (Comparison) অবস্থা একই থাকে, তবেই বুঝব প্রজেক্ট সফল।<br><br><b>Analogy (Bizarreness Effect):</b><br>ক্রস-সেকশনাল হলো ""সেলফি"" তোলা (এক মুহূর্তের ছবি)। আর লংগিটিউডিনাল হলো ""সিসিটিভি ফুটেজ"" (সময়ের সাথে পরিবর্তন দেখা)। কম্পারিজন গ্রুপ হলো সেই প্রতিবেশী যাকে আপনি দাওয়াত দেননি কিন্তু জানালা দিয়ে দেখছেন সে কী খায়।<br><br><b>Example:</b><br>প্রজেক্ট এলাকায় শিশুদের ওজন বাড়ল, কিন্তু পাশের গ্রামেও বাড়ল (বৃষ্টি ভালো হওয়ায়)। কম্পারিজন গ্রুপ না থাকলে আমরা ভাবতাম এটা প্রজেক্টের সাফল্য।<br><br><b>See–Link–Animate:</b><br>দুটি গাছ পাশাপাশি। একটিতে পানি দেওয়া হচ্ছে (Intervention), অন্যটিতে হচ্ছে না (Comparison)। আমরা দেখছি কোনটি দ্রুত বড় হয়।"
"<b>Topic: স্যাম্পলিং ও স্যাম্পল সাইজ (Sampling & Sample Size)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>What:</b> What is a ""Representative Sample""?<br>2. <b>How:</b> How do you calculate sample size for a nutrition survey (Formula)?<br>3. <b>Why:</b> Why is ""Random Sampling"" essential?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>সবাইকে মাপা সম্ভব নয়, তাই কিছু মানুষকে বেছে নেওয়া হয় যা পুরো দলের প্রতিনিধিত্ব করে (Representative Sample)। স্যাম্পল সাইজ বের করার সূত্র: n = 4 * p * (100-p) / 25। এখানে 'p' হলো সম্ভাব্য পুষ্টিহীনতার হার। র‍্যান্ডম স্যাম্পলিং করা হয় যাতে পক্ষপাতিত্ব (Bias) না থাকে।<br><br><b>First Principles Thinking:</b><br>পুরো হাড়ির ভাত টিপতে হয় না &#8594; একটি ভাত টিপলেই বোঝা যায় &#8594; তেমনি কিছু মানুষ (Sample) পরীক্ষা করলেই পুরো সমাজের অবস্থা বোঝা যায়, যদি বাছাই সঠিক (Random) হয়।<br><br><b>Analogy (Bizarreness Effect):</b><br>স্যাম্পলিং হলো স্যুপের স্বাদ নেওয়ার মতো। আপনি এক চামচ (Sample) স্যুপ খেলেই বোঝেন পুরো বাটির স্যুপ লবণাক্ত কিনা। কিন্তু চামচটি যদি শুধু ওপর থেকে নেন (Non-random), তবে নিচের ঘন অংশ মিস করবেন। তাই স্যুপটি আগে গুলিয়ে (Randomize) নিতে হয়।<br><br><b>Example:</b><br>যদি ৪০% পুষ্টিহীনতা আশা করা হয়, তবে সূত্রের হিসেবে ৩৮৪ জন শিশুর ওপর জরিপ করতে হবে।<br><br><b>See–Link–Animate:</b><br>একটি জাদুর টুপি থেকে লটারি করে নাম তোলা হচ্ছে। যার নাম উঠছে, তাকেই শুধু স্টেজে (Survey) ডাকা হচ্ছে।"
"<b>Topic: ক্লাস্টার স্যাম্পলিং (Cluster Sampling Implementation)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>How:</b> Describe the procedure of selecting clusters using the ""Cumulative Population"" method.<br>2. <b>What:</b> What is the ""Grid Method"" in sampling?<br>3. <b>Why:</b> Why do we use a ""Design Factor"" (e.g., 2 or 4) in cluster sampling?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>যখন তালিকা করা কঠিন হয়, তখন পুরো এলাকাকে ছোট ছোট দলে (Cluster) ভাগ করা হয় (যেমন: গ্রাম বা পাড়া)।<br>১. <b>Grid Method:</b> ম্যাপের ওপর দাগ কেটে ঘর বানিয়ে লটারি করা।<br>২. <b>Cumulative Population:</b> জনসংখ্যা অনুযায়ী গ্রাম বাছাই করা।<br>ক্লাস্টার স্যাম্পলিং-এ ভুল হওয়ার সম্ভাবনা থাকে বলে স্যাম্পল সাইজ দ্বিগুণ (Design Effect) করতে হয়।<br><br><b>First Principles Thinking:</b><br>একই গ্রামের মানুষ সাধারণত একই রকম হয় (Homogeneous) &#8594; তাই একটি গ্রাম থেকে তথ্য নিলে পুরো এলাকার চিত্র নাও আসতে পারে &#8594; তাই অনেকগুলো গ্রাম (Cluster) থেকে অল্প অল্প মানুষ নেওয়া ভালো।<br><br><b>Analogy (Bizarreness Effect):</b><br>ক্লাস্টার স্যাম্পলিং হলো ""চকলেট বক্স"" থেকে চকলেট বাছার মতো। আপনি প্রতিটি বক্স (Cluster) থেকে একটি করে চকলেট না নিয়ে, লটারি করে কয়েকটি বক্স বেছে নেন এবং সেই বক্সের সব চকলেট খেয়ে দেখেন।<br><br><b>Example:</b><br>শহরের ম্যাপে গ্রিড বা ছক একে সেখান থেকে লটারি করে ৫টি এলাকা বেছে নেওয়া হলো।<br><br><b>See–Link–Animate:</b><br>একটি বিশাল ম্যাপের ওপর একটি জাল (Grid) ফেলা হলো। জালের সুতো যেখানে যেখানে পড়েছে, সেই জায়গাগুলো লাল কালি দিয়ে মার্ক করা হচ্ছে।"
"<b>Topic: সার্ভে কর্মী ও প্রশিক্ষণ (Survey Personnel & Training)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>Who:</b> Who are Enumerators and Supervisors?<br>2. <b>Ratio:</b> What is the recommended ratio of supervisor to survey teams?<br>3. <b>Why:</b> Why is ""Pilot Testing"" important before the main survey?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>সার্ভেতে দুই ধরণের কর্মী থাকে:<br>১. <b>Enumerators:</b> যারা বাড়ি বাড়ি গিয়ে তথ্য নেয়। সাধারণত দুজন মিলে এক টিম হয়।<br>২. <b>Supervisors:</b> যারা কাজ তদারকি করে। একজন সুপারভাইজার ৪-৬টি টিম দেখেন।<br>মূল সার্ভের আগে ""পাইলট টেস্টিং"" বা মহড়া করা হয় ভুলত্রুটি ধরার জন্য।<br><br><b>First Principles Thinking:</b><br>ভুল মানুষ করে &#8594; তাই ভুল ধরার জন্য তদারকি (Supervisor) দরকার &#8594; এবং মূল কাজের আগে প্র্যাকটিস (Pilot) করলে ভুল কমে যায়।<br><br><b>Analogy (Bizarreness Effect):</b><br>Enumerator-রা হলো ""সৈনিক"" যারা যুদ্ধ করে, আর Supervisor হলো ""কমান্ডার"" যে দূরবীন দিয়ে দেখে সৈন্যরা ঠিকমতো গুলি করছে কিনা। Pilot Testing হলো ""উইং রিয়ার্সাল"" বা মহড়া।<br><br><b>Example:</b><br>সুপারভাইজার প্রতি ১০টি ফরমের মধ্যে ১টি চেক করবেন এবং সপ্তাহে একবার মিটিং করবেন।<br><br><b>See–Link–Animate:</b><br>একজন সুপারভাইজার হেলিকপ্টার (Imaginary) থেকে নিচে তাকিয়ে দেখছেন ৪টি টিম গ্রামে গ্রামে ঘুরছে এবং ওয়াকিটকিতে নির্দেশ দিচ্ছেন।"
Front,Back
