"front","back"
"দ্বিতীয় অধ্যায়ের নাম কী?","কম্পিউটার-সংশ্লিষ্ট যন্ত্রপাতি"
"এই অধ্যায় শেষে শিক্ষার্থীরা কী বর্ণনা করতে পারবে?","কম্পিউটারের বিভিন্ন যন্ত্রাংশের কার্যাবলি।"
"এই অধ্যায় শেষে শিক্ষার্থীরা কী ব্যাখ্যা করতে পারবে?","কম্পিউটারের বিভিন্ন যন্ত্রাংশের পারস্পরিক সম্পর্ক।"
"কম্পিউটারে ইনপুট দেওয়ার প্রধান যন্ত্র কোনটি?","কীবোর্ড"
"আধুনিক কম্পিউটার কীবোর্ডের ধারণা কোন যন্ত্র থেকে এসেছে?","টাইপরাইটার"
"বাংলাদেশ সরকার সম্প্রতি মোবাইল ফোনের কীবোর্ডে কী যুক্ত করার নির্দেশনা জারি করেছে?","বাংলা লেআউট"
"মাউস কী ধরনের ডিভাইস?","ইনপুট ডিভাইস"
"মাউসকে অনেকে আর কী নামে ডেকে থাকে?","পয়েন্টিং ডিভাইস"
"মাউসে সাধারণত কয়টি বাটন ও স্ক্রল চক্র থাকে?","দুটি বাটন ও একটি স্ক্রল চক্র"
"কম্পিউটারের পর্দায় মাউসের অবস্থান কী দিয়ে দেখানো হয়?","তীরের ফলার মতো একটি পয়েন্টার"
"প্রোগ্রাম চালু করতে মাউসের বাম বাটন কতবার ক্লিক করতে হয়?","পরপর দ্রুত দুবার"
"ল্যাপটপ কম্পিউটারে মাউসের কাজ কী দিয়ে সম্পাদন করা যায়?","টাচপ্যাড"
"মাইক্রোফোন কী ধরনের যন্ত্র?","ইনপুট যন্ত্র"
"কিসের মাধ্যমে কথা, গান বা শব্দ কম্পিউটারে প্রবেশ করানো যায়?","মাইক্রোফোন"
"ভয়েস রিকগনিশনের ক্ষেত্রে কোন ইনপুট যন্ত্র ব্যবহার করা হয়?","মাইক্রোফোন"
"ডিজিটাল ক্যামেরা কী ধরনের যন্ত্র?","ইনপুট যন্ত্র"
"কোন পোর্টের মাধ্যমে ডিজিটাল ক্যামেরা কম্পিউটারের সাথে যুক্ত করা হয়?","ইউএসবি পোর্ট"
"ওয়েবক্যাম কী?","ডিজিটাল ক্যামেরার একটি বিশেষ রূপ যা হার্ডওয়্যার হিসেবে কম্পিউটারের সাথে যুক্ত থাকে।"
"সাধারণত কোন ধরনের কম্পিউটারে ওয়েবক্যাম সংযুক্ত থাকে?","ল্যাপটপ কম্পিউটার"
"ভিডিও কনফারেন্স বা ভিডিও ফোনে কোন ক্যামেরার ব্যবহার সর্বাধিক?","ওয়েবক্যাম"
"ওয়েব ক্যামেরার নামটি কেন এমন হয়েছে?","ওয়ার্ল্ড ওয়াইড ওয়েবে এর ব্যাপক ব্যবহারের কারণে।"
"নিরাপত্তা সংশ্লিষ্ট কাজে কোন ক্যামেরা ব্যবহার করা হয়?","ওয়েব ক্যাম"
"স্ক্যানার কী?","যেকোনো প্রকার ছবি, মুদ্রিত বা হাতে লেখা কোনো ডকুমেন্ট অথবা কোনো বস্তুর ডিজিটাল প্রতিলিপি তৈরি করার যন্ত্র।"
"স্ক্যানার দিয়ে তৈরি প্রতিলিপি কম্পিউটারে কী আকারে সংরক্ষণ করা যায়?","তথ্য ফাইল আকারে"
"OMR-এর পূর্ণরূপ কী?","অপটিক্যাল মার্ক রিডার (Optical Mark Reader)"
"OMR কী ধরনের ডিভাইস?","ইনপুট ডিভাইস"
"OMR কীভাবে তথ্য বুঝতে পারে?","আলোর প্রতিফলন বিচার করে।"
"বহুনির্বাচনি প্রশ্নের উত্তরপত্র যাচাইয়ে কোন যন্ত্রের ব্যাপক ব্যবহার রয়েছে?","ওএমআর (OMR)"
"মেমোরি কত প্রকার ও কী কী?","দুই প্রকার। প্রধান বা প্রাথমিক মেমোরি এবং সহায়ক বা সেকেন্ডারি মেমোরি।"
"সিপিইউ যখন কাজ করে তখন প্রয়োজনীয় তথ্য বা সফটওয়্যার কোথায় অবস্থান করে?","প্রধান মেমোরিতে"
"প্রধান মেমোরি কত প্রকার ও কী কী?","দুই ধরনের- র্যাম (RAM) এবং রম (ROM)।"
"মেমোরির গতি কী দিয়ে প্রকাশ করা হয়?","হার্টজ (Hz)"
"মেমোরির ধারণ ক্ষমতা কী দিয়ে প্রকাশ করা হয়?","বাইট (Byte)"
"৮ বিট সমান কত?","১ বাইট"
"১০২৪ বাইট সমান কত?","১ কিলোবাইট"
"১ মেগাবাইট সমান কত বাইট?","(১০২৪×১০২৪) বাইট"
"১ গিগাবাইট সমান কত বাইট?","(১০২৪×১০২৪×১০২৪) বাইট"
"১ টেরাবাইট সমান কত বাইট?","(১০২৪×১০২৪×১০২৪×১০২৪) বাইট"
"RAM-এর পূর্ণরূপ কী?","Random Access Memory"
"ROM-এর পূর্ণরূপ কী?","Read Only Memory"
"প্রসেসর র‍্যামের যে কোনো জায়গা থেকে সরাসরি তথ্য সংগ্রহ করে বলে একে কী বলা হয়?","Random Access Memory (RAM)"
"বিদ্যুৎ প্রবাহ বন্ধ করে দিলে কোন মেমোরির তথ্য মুছে যায়?","র‍্যাম (RAM)"
"কোন মেমোরি বিদ্যুৎ থাকা বা না থাকার উপর নির্ভর করে না?","রম (ROM)"
"কোন মেমোরিকে স্থায়ী মেমোরি বলে?","রম (ROM)"
"তথ্য সংরক্ষণের প্রধান যন্ত্র কোনটি?","হার্ডডিস্ক"
"IBM কোম্পানী কত সালে প্রথম হার্ডডিস্কের ব্যবহার করে?","১৯৫৬ সালে"
"হার্ডডিস্কের চাকতিগুলোকে কী বলা হয়?","প্লটার"
"আলাদাভাবে যে হার্ডডিস্ক ব্যবহার করা যায় তাকে কী বলে?","এক্সটারন্যাল হার্ডডিস্ক"
"SSD-এর পূর্ণরূপ কী?","সলিড স্টেট ড্রাইভ (Solid State Drive)"
"SSD কী ব্যবহার করে ডেটা সংরক্ষণ করে?","ফ্লাশ মেমোরি"
"কোনটি বেশি দ্রুত, HDD নাকি SSD?","এসএসডি (SSD)"
"সহজে বহনযোগ্য স্টোরেজ ডিভাইসের নাম কী?","পেনড্রাইভ বা ফ্ল্যাশ ড্রাইভ"
"তথ্য সংরক্ষণের জন্য মাইক্রোচিপ সংযুক্ত কার্ডকে কী বলে?","মেমোরি কার্ড"
"মেমোরি কার্ড সরাসরি সংযোগ দেওয়া না গেলে কী ব্যবহার করতে হয়?","কার্ড রিডার"
"মাদারবোর্ড কী?","এটি একটি প্রিন্টেড সার্কিট বোর্ড যেখানে কম্পিউটারের সকল প্রয়োজনীয় যন্ত্রাংশ সংযোগ দেওয়া থাকে।"
"মাদারবোর্ডের অন্য নাম কী?","মেইনবোর্ড, সিস্টেম বোর্ড বা লজিক বোর্ড।"
"মাদারবোর্ডের অত্যাবশ্যকীয় অংশ কোনটি যা সিপিইউ-এর সাথে অন্যান্য যন্ত্রপাতির কার্যক্রম সমন্বয় করে?","চিপসেট (Chipset)"
"কম্পিউটারের যন্ত্রাংশগুলোকে বিদ্যুৎ শক্তি সরবরাহ করে কোন যন্ত্র?","পাওয়ার সাপ্লাই ইউনিট"
"পাওয়ার সাপ্লাই ইউনিট এসি (AC) বিদ্যুৎকে কোন বিদ্যুতে রূপান্তরিত করে?","ডিসি (DC) বিদ্যুতে"
"কম্পিউটারের সবচেয়ে গুরুত্বপূর্ণ অংশ কোনটি?","প্রসেসর"
"প্রসেসরের অপর নাম কী?","সিপিইউ (CPU) বা কেন্দ্রীয় প্রক্রিয়াকরণ অংশ"
"CPU-এর পূর্ণরূপ কী?","Central Processing Unit (কেন্দ্রীয় প্রক্রিয়াকরণ অংশ)"
"অসংখ্য কী দিয়ে প্রসেসর তৈরি হয়?","ইন্টিগ্রেটেড সার্কিট (IC)"
"আইসি (IC) কী দিয়ে তৈরি হয়?","ট্রানজিস্টার (Transistor)"
"প্রসেসর কয়টি অংশের সমন্বয়ে গঠিত ও কী কী?","তিনটি। গাণিতিক যুক্তি ইউনিট, নিয়ন্ত্রক অংশ এবং রেজিস্টার স্মৃতি।"
"প্রসেসরের কোন অংশে গাণিতিক ও যৌক্তিক সিদ্ধান্তমূলক কাজ সংগঠিত হয়?","গাণিতিক যুক্তি ইউনিট (Arithmetic and Logic Unit)"
"প্রসেসরের কোন অংশে নির্দেশের পর কোন নির্দেশ পালিত হবে তা নির্ধারিত হয়?","নিয়ন্ত্রক অংশ (Control Unit)"
"রেজিস্টার স্মৃতি কী?","এটি ছোটো আকারের অত্যন্ত দ্রুতগতির অস্থায়ী মেমোরি বা স্মৃতি।"
"ইন্টেল কত সালে প্রথম মাইক্রোপ্রসেসর উদ্ভাবন করে?","১৯৭১ সালে"
"ইন্টেলের প্রথম মাইক্রোপ্রসেসরের নাম কী ছিল?","৪০০৪ (4004)"
"৪০০৪ মাইক্রোপ্রসেসরে ট্রানজিস্টরের সংখ্যা কত ছিল?","২৩০০টি"
"কম্পিউটারের ভাষা কী?","মেশিন ভাষা (Machine Language)"
"কম্পিউটারের ভাষায় কেবল কয়টি অক্ষর ও কী কী?","দুটো অক্ষর, '০' এবং ‘১’।"
"মেশিন ভাষায় '০' মানে কী?","০ থেকে ২ ভোল্ট বিদ্যুৎ"
"মেশিন ভাষায় '১' মানে কী?","৩ থেকে ৫ ভোল্ট বিদ্যুৎ"
