"Front","Back"
"<b>Step 1: What’s the foundation of bravery for a Muslim man?</b><p>How do you build it?</p>","<p><b>Faith (Iman)</b>—bravery starts with trusting Allah above all else (Qur’an 3:175).</p><ul><li><b>Why:</b> Fear of people fades when you fear only Allah.</li><li><b>How:</b> Strengthen your connection through consistent worship and reliance (tawakkul).</li><li><b>Example:</b> You’re nervous to speak up, but you pray and feel calm knowing Allah sees your effort.</li><li><b>Analogy:</b> Faith is like an anchor—storms (fears) come, but you stay steady.</li></ul><p><b>Action:</b> Pray all 5 Salah on time daily; recite “Hasbunallahu wa ni’mal wakeel” (Allah is sufficient for us) when scared.</p>"
"<b>Step 2: How do you define your purpose as a brave Muslim?</b><p>What keeps you focused?</p>","<p><b>Purpose</b>—knowing why you’re here (to serve Allah, help others) gives you unshakable direction.</p><ul><li><b>Why:</b> A man without purpose drifts; a brave man stands firm.</li><li><b>How:</b> Set goals tied to faith (e.g., family, justice) and act on them.</li><li><b>Example:</b> You decide to teach kids Qur’an weekly—small steps build your legacy.</li><li><b>Analogy:</b> Purpose is like a compass—it guides you through life’s wilderness.</li></ul><p><b>Action:</b> Write a goal (e.g., “Support my parents”) and save $10 or call them this week.</p>"
"<b>Step 3: Why is physical and mental resilience key to bravery?</b><p>How do you grow it?</p>","<p><b>Resilience</b>—strength makes you ready to act bravely (Sahih Muslim: “The strong believer is better…”).</p><ul><li><b>Why:</b> A weak body or mind buckles under pressure.</li><li><b>How:</b> Train both—exercise for stamina, learn for sharpness.</li><li><b>Example:</b> You lift weights and feel bolder; reading about Khalid ibn al-Walid inspires grit.</li><li><b>Analogy:</b> You’re a sword—sharpened by training, not dulled by laziness.</li></ul><p><b>Action:</b> Do 15 push-ups daily; read 5 pages of a brave Muslim’s story (e.g., Umar RA).</p>"
"<b>Step 4: How do you speak truth bravely as a Muslim?</b><p>What’s the balance?</p>","<p><b>Truth with Wisdom</b>—stand for justice (Qur’an 4:135) but speak kindly, like the Prophet (PBUH).</p><ul><li><b>Why:</b> Silence is cowardice; harshness is reckless.</li><li><b>How:</b> Practice calm, firm speech with tact.</li><li><b>Example:</b> A friend cheats—you say, “Brother, let’s earn halal, it’s better,” not “You’re a liar.”</li><li><b>Analogy:</b> Truth is a shield—hold it steady, don’t swing it wildly.</li></ul><p><b>Action:</b> Correct a wrong gently (e.g., “Let’s not backbite”); rehearse a polite tone.</p>"
"<b>Step 5: How do you face fears with faith?</b><p>What’s the process?</p>","<p><b>Facing Fear</b>—courage grows by trusting Allah and stepping forward.</p><ul><li><b>Why:</b> Avoiding fear weakens you; facing it builds you.</li><li><b>How:</b> Start small, lean on Allah, and accept setbacks.</li><li><b>Example:</b> You fear public speaking, so you lead a 2-minute dua at home first.</li><li><b>Analogy:</b> Fear is a dark room—turn on the light of faith and walk in.</li></ul><p><b>Action:</b> Try something scary (e.g., lead Salah); say “Astaghfirullah” 10 times after.</p>"
"<b>Step 6: What does protecting and serving others look like?</b><p>How do you show it?</p>","<p><b>Protect & Serve</b>—bravery shines in defending others (Qur’an 8:60) with compassion.</p><ul><li><b>Why:</b> A man’s worth is in his care for others.</li><li><b>How:</b> Actively support family, friends, or the weak.</li><li><b>Example:</b> A kid’s bullied—you step in calmly: “Let’s treat him right.”</li><li><b>Analogy:</b> You’re a shepherd—guard your flock, don’t flee from wolves.</li></ul><p><b>Action:</b> Help someone (e.g., fix a friend’s tire); give $5 Sadaqah this week.</p>"
"<b>Step 7: Why is discipline essential for bravery?</b><p>How do you maintain it?</p>","<p><b>Discipline</b>—consistent habits make courage a reflex, like the Sahaba.</p><ul><li><b>Why:</b> Bravery without structure crumbles.</li><li><b>How:</b> Build routines around faith and effort.</li><li><b>Example:</b> You wake for Fajr daily—tiredness loses, willpower wins.</li><li><b>Analogy:</b> Discipline is mortar—bricks (actions) hold strong with it.</li></ul><p><b>Action:</b> Set a Fajr alarm; swap 30 minutes of phone time for Qur’an.</p>"
"<b>Step 8: How do you seek Allah’s help for bravery?</b><p>Who inspires you?</p>","<p><b>Divine Aid</b>—Allah grants courage; the Prophet (PBUH) and Sahaba show the path.</p><ul><li><b>Why:</b> Human strength alone isn’t enough.</li><li><b>How:</b> Ask Allah and study role models.</li><li><b>Example:</b> You read how Ali (RA) faced armies—then face your own ‘battle’ (e.g., a tough talk).</li><li><b>Analogy:</b> Allah’s help is wind in your sails—row, and He’ll push you forward.</li></ul><p><b>Action:</b> Dua: “Allahumma ij’alni shuja’an”; read a Seerah bravery story.</p>"
"<b>Habit: What daily practice boosts courage?</b><p>How do you use it?</p>","<p><b>Dhikr</b>—remembrance of Allah fuels bravery.</p><ul><li><b>Why:</b> It roots you in Allah’s power, not your own.</li><li><b>How:</b> Say specific phrases before challenges.</li><li><b>Example:</b> Before a test, you whisper “Bismillah”—nerves fade.</li><li><b>Analogy:</b> Dhikr is armor—wear it, and arrows (fears) bounce off.</li></ul><p><b>Action:</b> Say “La ilaha illallah” 5 times before a bold move.</p>"
"<b>Mindset: How do you shift from fear to bravery?</b><p>What’s the change?</p>","<p><b>Mindset Shift</b>—reframe fear through faith.</p><ul><li><b>Before:</b> “I’ll fail and look stupid.”</li><li><b>After:</b> “I fear only Allah; every step for Him builds me up.”</li><li><b>Example:</b> You hesitate to apply for a job—then think, “Allah’s my provider,” and send it.</li><li><b>Analogy:</b> Fear is a shadow—turn to Allah’s light, and it shrinks.</li></ul><p><b>Action:</b> Write your old fear and new mindset; read it daily.</p>"
