"Front","Back"
"<b>1.1 Why is sincerity to Allah important?</b> 🤔","<b>1.1 Why is it important?</b> 🤔<br><ul><li>🌍 <b>Core of faith:</b> Religion is ""naseehah"" (sincerity) to Allah, His Book, Messenger, leaders, and people (Hadith: Muslim).</li><li>🙏 <b>Sincerity = True devotion:</b> Doing deeds only for Allah, not worldly praise.</li><li>⚖️ <b>Intention matters:</b> ""Actions are driven by intentions"" (Hadith: Bukhari) — no sincerity, no reward.</li></ul>"
"<b>1.2 How does sincerity to Allah work?</b> 🛠️","<b>1.2 How does it work?</b> 🛠️<br><ul><li>✅ <b>3 Must-Haves for accepted deeds:</b><ul><li>Be Muslim.</li><li>Follow Sunnah (no changes).</li><li>Do it for Allah alone.</li></ul></li><li>😢 <b>Private proof:</b> Crying to Allah in the dark shows sincerity (fear or gratitude).</li><li>💪 <b>Full effort:</b> Use wealth, strength, knowledge to obey Allah’s commands.</li><li>⚖️ <b>Balance test:</b> Prayer is easy, avoiding evil is harder — true sincerity shines here.</li></ul>"
"<b>1.3 What are the benefits of sincerity?</b> 🎁","<b>1.3 Benefits of sincerity</b> 🎁<br><ul><li>🗺️ <b>Guidance:</b> ""Those who strive for Us — We will guide them"" (Quran: al-‘Ankaboot 29:69).</li><li>🌈 <b>Allah’s reward:</b> Pure deeds = divine delight, not just human praise.</li><li>🛡️ <b>Protection:</b> Sincerity safeguards family/property (e.g., Khidr’s story, Quran: al-Kahf 18:82).</li><li>🙌 <b>Eternal favor:</b> Even after death, Allah helps the sincere.</li></ul>"
"<b>1.4 What happens if you lack sincerity?</b> ⚠️","<b>1.4 What if you lack sincerity?</b> ⚠️<br><ul><li>❌ <b>Wasted deeds:</b> No sincerity = no value, even with knowledge.</li><li>😷 <b>Hypocrisy risk:</b> Outward acts (prayer, fasting) without inner truth fool only yourself.</li><li>🔥 <b>Punishment danger:</b> Lack of sincerity may bring Allah’s wrath or zero reward.</li><li>💡 <b>True righteousness:</b> Belief + action, not just appearances (Quran: al-Baqarah 2:177).</li></ul>"
"Front","Back"
"<b>2.1 Why is knowledge of monotheism important?</b> 🤔","<b>2.1 Why is it important?</b> 🤔<br><ul><li>🧠 <b>Deep understanding:</b> Key to grasping Allah’s Highness—without it, Islam’s essence is lost.</li><li>📚 <b>Beyond books:</b> Starts with study, but lives in actions, not just saying ""La ilaha illa Allah.""></li><li>⚠️ <b>Weak faith risk:</b> Lack of it leads to lazy worship, harsh behavior, and rebellion (Quran: az-Zukhruf 43:86).</li><li>🌟 <b>Foundation of success:</b> Knowing Allah’s commands/prohibitions prevents swaying between faith and disobedience.</li></ul>"
"<b>2.2 How does knowledge of monotheism work?</b> 🛠️","<b>2.2 How does it work?</b> 🛠️<br><ul><li>📖 <b>Study Allah’s revelation:</b> Learn His might via Quran (e.g., al-Fatihah 1:1-5) and Sunnah, like the Prophet (ﷺ) did.</li><li>🙏 <b>Accept His attributes:</b> Acknowledge Allah’s Hands, Face, and Throne as He describes (e.g., Sad 38:75, al-Baqarah 2:115, Ta Ha 20:5).</li><li>🚫 <b>No overthinking:</b> Don’t rationalize or twist His descriptions—accept them as is (Quran: al-Ikhlas 112:4).</li><li>💡 <b>Reflection:</b> Contemplate Allah’s names (e.g., ar-Rahman, al-Malik) to strengthen faith.</li></ul>"
"<b>2.3 What are the benefits of understanding Islamic monotheism?</b> 🎁","<b>2.3 Benefits of understanding Islamic monotheism</b> 🎁<br><ul><li>❤️ <b>Appreciation:</b> Deepens love for Allah, making obedience natural.</li><li>🛡️ <b>Strength:</b> Awareness of His power curbs disobedience, aiming for paradise (Quran: al-Hashr 59:22-24).</li><li>🌈 <b>Perspective:</b> Life’s brevity becomes clear—focus shifts to eternal reward.</li><li>😊 <b>Humility:</b> Knowing Allah as Creator stops pride (e.g., you can’t control beauty or intellect).</li></ul>"
"<b>2.4 What happens if you lack knowledge of monotheism?</b> ⚠️","<b>2.4 What if you lack this knowledge?</b> ⚠️<br><ul><li>😕 <b>Confusion:</b> Unsure of Allah’s reality, easily misled by deviant beliefs.</li><li>❌ <b>Disobedience:</b> Sinning becomes easy without understanding monotheism’s weight.</li><li>🔥 <b>Punishment risk:</b> Wilful ignorance invites Allah’s wrath or apostasy (Quran: Yoosuf 12:108).</li><li>🚪 <b>Lost foundation:</b> No excuse when learning opportunities exist—faith crumbles.</li></ul>"
"Front","Back"
"<b>3.1 Why is consistent worship important?</b> 🤔","<b>3.1 Why is it important?</b> 🤔<br><ul><li>🌟 <b>Steadfastness:</b> Quran says, <i>\"Indeed, those who have said: Our Lord is Allah—and then remained on a right course...\"</i> (Fussilat 41:30) — angels bring comfort at death.</li><li>⚖️ <b>Istiqamah:</b> Means firm worship, unwavering through ease or hardship.</li><li>🚫 <b>Ease traps:</b> Too much comfort breeds heedlessness (e.g., mistress, old habits).</li><li>😢 <b>Hardship traps:</b> Pain leads to abandoning worship for crime—both show lack of consistency.</li></ul>"
"<b>3.2 How does consistent worship work?</b> 🛠️","<b>3.2 How does it work?</b> 🛠️<br><ul><li>🕌 <b>Guard prayer:</b> Hadith: <i>\"The first deed... will be his prayer. If complete, he will be successful...\"</i> (Tirmidhi, authenticated) — pray in congregation.</li><li>👥 <b>Good company:</b> Quran: <i>\"Fear Allah and be with those who are true\"</i> (at-Tawbah 9:119); Hadith: <i>\"A man follows the religion of his friend...\"</i> (Abu Dawood, reliable).</li><li>🍎 <b>Choose wisely:</b> Pick friends like fruit—check behavior, speech, goals.</li><li>💡 <b>Avoid harm:</b> Bad companions lead to sin, even if they seem appealing.</li></ul>"
"<b>3.3 What are the benefits of consistent worship?</b> 🎁","<b>3.3 Benefits of consistent worship</b> 🎁<br><ul><li>🧼 <b>Cleansing:</b> Hadith: <i>\"Five prayers remove sins...\"</i> (Bukhari) — like bathing in a river daily.</li><li>🌈 <b>Paradise:</b> Quran: <i>\"Those who believe in Allah and hold fast to Him—He will admit them to mercy...\"</i> (an-Nisa’ 4:175) — reward by Allah’s grace.</li><li>🙌 <b>Real goal:</b> Consistency makes paradise tangible for believers.</li><li>💪 <b>Strength:</b> Steadies faith through life’s ups and downs.</li></ul>"
"<b>3.4 What happens if you’re not able to worship consistently?</b> ⚠️","<b>3.4 What if you’re not able to worship consistently?</b> ⚠️<br><ul><li>😞 <b>Weak faith:</b> Inconsistency shows misplaced trust (e.g., in wealth, not Allah).</li><li>🔥 <b>Satan’s lesson:</b> Refused one prostration, cursed forever—not even shirk, just disobedience!</li><li>🤦 <b>Foolish cycle:</b> Quran: <i>\"...but it was they who were wronging themselves\"</i> (al-‘Ankaboot 29:40) — pray one day, sin the next.</li><li>🚫 <b>Untrustworthy:</b> Slack worship = disloyalty to Allah and others.</li></ul>"
"Front","Back"
"<b>4.1 Why is halal provision important?</b> 🤔","<b>4.1 Why is it important?</b> 🤔<br><ul><li>📜 <b>Allah’s command:</b> Quran: <i>“O you who have believed, eat from the good things which We have provided for you...”</i> (al-Baqarah 2:172) — gratitude ties to worship.</li><li>🚫 <b>No excuses:</b> Forbidden means for good ends isn’t allowed—breaks Allah’s rules.</li><li>⚠️ <b>Risk abandonment:</b> Impermissible provision = losing Allah’s favor.</li><li>🌟 <b>Purity matters:</b> Halal sustains faith; haram corrupts it.</li></ul>"
"<b>4.2 How does halal provision work?</b> 🛠️","<b>4.2 How does it work?</b> 🛠️<br><ul><li>✅ <b>Strictly halal:</b> Quran: <i>“Say: Have you seen what Allah has sent down... of which you have made [some] lawful and [some] unlawful?”</i> (Yoonus 10:59) — no inventing rules.</li><li>💡 <b>Mindset shift:</b> Never see forbidden as an option, even in desperation.</li><li>💪 <b>Adaptable effort:</b> Be ready for big wins or humble work—trust Allah’s plan.</li><li>😈 <b>Avoid greed:</b> Satan lures to haram when discontent grows—stay vigilant.</li></ul>"
