"front","back"
"তৃতীয় অধ্যায়ের নাম কী?","তথ্য ও যোগাযোগ প্রযুক্তির নিরাপদ ব্যবহার"
"কম্পিউটারের পিছনে বেশি সময় দিলে কী কী সমস্যা হতে পারে?","পিঠে ব্যথা, কোমরে ব্যথা, আঙুলে ব্যথা, চোখের সমস্যা এবং মানসিক অসুস্থতা।"
"কম্পিউটার ব্যবহারে কোন বিষয়টি নিয়ে সবচেয়ে বেশি সতর্ক থাকা দরকার?","তার বৈদ্যুতিক সংযোগ।"
"কত ভোল্টের বেশি বিদ্যুৎ প্রবাহ আমরা অনুভব করতে পারি?","৫০ ভোল্টের বেশি।"
"আমাদের দেশের বিদ্যুৎপ্রবাহের ভোল্টেজ কত?","২২০ ভোল্ট।"
"মস্তিষ্ক থেকে স্নায়ুর মাধ্যমে পাঠানো সংকেত কী ধরনের সংকেত?","বৈদ্যুতিক সংকেত।"
"কেউ বিদ্যুতায়িত হলে হাত পা নাড়াতে পারে না কেন?","কারণ শরীরের ভেতর দিয়ে প্রবাহিত বড় বিদ্যুৎপ্রবাহের নিচে মস্তিষ্ক থেকে পাঠানো ছোট সংকেতগুলো চাপা পড়ে যায়।"
"বিদ্যুৎ সংযোগের ক্ষেত্রে কোনটি করা বিপদজনক?","খোলা তারের প্লাস্টিক সরিয়ে প্লাগে ঢুকিয়ে বিদ্যুৎ সংযোগ দেওয়া।"
"প্রসেসরের ওপর আলাদা ফ্যান বসাতে হয় কেন?","কারণ কম্পিউটারের প্রসেসর অনেক গরম হতে পারে।"
"কম্পিউটারে ফ্যান লাগানো হয় কেন?","ভেতরের গরম বাতাস বাইরে বের করে দেওয়ার জন্য এবং বাইরের ঠান্ডা বাতাস ভেতরে টেনে আনার জন্য।"
"কোন ধরনের মনিটর পরিষ্কার করার সময় খুব সতর্ক থাকতে হয়?","এলসিডি বা এলইডি মনিটর।"
"এলসিডি বা এলইডি মনিটরের পৃষ্ঠদেশ কী দিয়ে তৈরি নয়?","কাচ।"
"এলসিডি বা এলইডি মনিটর জোরে ঘষাঘষি করলে কী ক্ষতি হতে পারে?","মনিটরের ভেতরের পিক্সেলগুলো ক্ষতিগ্রস্ত হতে পারে।"
"সিআরটি মনিটর কী দিয়ে পরিষ্কার করা যায়?","নরম সুতি কাপড়।"
"গ্লাস ক্লিনার না থাকলে তার বিকল্প হিসেবে কী ব্যবহার করা যায়?","এক গ্লাস পানিতে এক চামচ ভিনেগার।"
"কম্পিউটার পরিষ্কার করার আগে অবশ্যই কী করতে হবে?","কম্পিউটার বন্ধ করে তার বৈদ্যুতিক সংযোগ বন্ধ করে দিতে হবে।"
"পানি বা পানীয় কম্পিউটারের ভেতরে ঢুকলে কী হতে পারে?","বৈদ্যুতিক সার্কিটগুলো শর্ট সার্কিট হতে পারে।"
"কম্পিউটারে পানি পড়লে সাথে সাথে কী করা উচিত?","কম্পিউটার বন্ধ করে দীর্ঘ সময় ফ্যানের নিচে রেখে শুকিয়ে নেওয়া।"
"কম্পিউটারে ধুলোবালি জমলে কী সমস্যা হয়?","বাতাস ঢোকার ও বের হওয়ার পথ বন্ধ হয়ে কম্পিউটার বেশি গরম হতে পারে।"
"কী-বোর্ড পরিষ্কার করার জন্য কী ব্যবহার করা যায়?","শুকনো নরম সুতি কাপড় এবং কটন বাড।"
"অপটিক্যাল মাউসের লেন্স অপরিষ্কার থাকলে কী সমস্যা হয়?","মাউস ঠিক করে কাজ নাও করতে পারে।"
"একটি কম্পিউটারের প্রধান দুটি অংশ কী কী?","হার্ডওয়্যার এবং সফটওয়্যার।"
"কম্পিউটার ভাইরাস কী?","এক ধরনের কম্পিউটার প্রোগ্রাম যা কম্পিউটারের স্বাভাবিক কাজে বাধা সৃষ্টি করে।"
"বাস্তব ভাইরাস ও কম্পিউটার ভাইরাসের মধ্যে প্রধান পার্থক্য কী?","একটি (বাস্তব ভাইরাস) প্রকৃতিতে আগে থেকে আছে, অন্যটি (কম্পিউটার ভাইরাস) অসৎ মানুষেরা তৈরি করছে।"
"কম্পিউটার ভাইরাস আসলে কী?","একটি ছোটো প্রোগ্রাম।"
