"Front","Back"
"<b>Topic: Food & Health Relationship</b><br><br>How does food affect the human body? (Machine Analogy)","<h3>Feynman Technique (Simple Bangla):</h3><div style=""text-align: left;"">মানুষের শরীর একটি মেশিনের মতো। মেশিনের পারফরম্যান্স নির্ভর করে এতে আপনি কেমন জ্বালানি (Fuel) বা তেল ব্যবহার করছেন তার ওপর। সঠিক খাবার (Nutrients) শরীরকে মেরামত করে এবং শক্তি দেয়।</div><br><h3>Analogy (উপমা):</h3><div style=""text-align: left;"">একটি গাড়িতে ভেজাল তেল দিলে ইঞ্জিন নষ্ট হয়ে যায়। তেমনি শরীরে খারাপ খাবার দিলে অর্গানগুলো নষ্ট হয়ে রোগ বালাই হয়।</div><br><h3>First Principle Thinking:</h3><div style=""text-align: left;"">Health = Genetics (Hardware) + Maintenance (Lifestyle/Diet). জেনেটিক্স বদলানো যায় না, কিন্তু Maintenance (ডায়েট) আমাদের হাতে।</div><br><b>Exam Question:</b> Why is food considered the most controllable factor in health management?"
"<b>Topic: 6 Keywords for Diet Planning</b><br><br>What are the 6 essential keywords/principles for planning a diet?","<h3>The List:</h3><div style=""text-align: left;""><ul><li><b>Accuracy:</b> সঠিক পরিমাপ।</li><li><b>Adequacy:</b> পর্যাপ্ত পুষ্টি।</li><li><b>Economy:</b> বাজেটের মধ্যে।</li><li><b>Palatability:</b> সুস্বাদু হতে হবে।</li><li><b>Flexibility:</b> পরিবর্তনযোগ্য।</li><li><b>Digestibility:</b> সহজে হজমযোগ্য।</li></ul></div><br><h3>See-Link-Animate Story (Mnemonic):</h3><div style=""text-align: left;"">কল্পনা করুন আপনি একজন ডাক্তার এবং রাঁধুনি। আপনি ওষুধ মাপছেন (<b>Accuracy</b>), দেখছেন সবার পেট ভরবে কিনা (<b>Adequacy</b>), পকেটের টাকা বাঁচাচ্ছেন (<b>Economy</b>), খাবারটা চেখে দেখছেন মজা হলো কিনা (<b>Palatability</b>), মেনু চেঞ্জ করছেন (<b>Flexibility</b>) এবং নিশ্চিত করছেন কারোর পেট খারাপ হবে না (<b>Digestibility</b>)।</div><br><b>Exam Question:</b> Which keyword ensures the diet is financially feasible for the patient? (Ans: Economy)"
"<b>Topic: Objectives of Diet Therapy</b><br><br>What are the main goals/purposes of Diet Therapy?","<h3>Key Objectives:</h3><div style=""text-align: left;""><ul><li><b>Correction:</b> পুষ্টির ঘাটতি পূরণ করা (Correct Deficiency)।</li><li><b>Rest:</b> অসুস্থ অর্গানকে বিশ্রাম দেওয়া।</li><li><b>Weight Control:</b> ওজন ঠিক রাখা।</li><li><b>Adjustment:</b> মেটাবলিক বা হজম প্রক্রিয়ার সাথে মানিয়ে নেওয়া।</li></ul></div><br><h3>Analogy (বিশ্রাম):</h3><div style=""text-align: left;"">হাতে ফ্র্যাকচার হলে যেমন স্লিং (Sling) দিয়ে হাতকে বিশ্রাম দেওয়া হয়, তেমনি Gastritis বা Ulcer হলে হালকা খাবার দিয়ে পাকস্থলীকে বিশ্রাম (Rest) দেওয়া হয়।</div><br><b>Exam Question:</b> How does diet therapy help in acute organ inflammation? (Ans: By providing rest to that organ)."
"<b>Topic: Hierarchy of Feeding Methods</b><br><br>What is the order of feeding methods? (Oral vs Tube vs IV)","<h3>The Hierarchy (Priority List):</h3><div style=""text-align: left;""><ol><li><b>Oral Feeding:</b> (Best) - মুখ দিয়ে স্বাভাবিক খাওয়া।</li><li><b>Tube Feeding (Enteral):</b> - যদি গিলতে না পারে কিন্তু পেট (GIT) কাজ করে।</li><li><b>Parenteral (IV/TPN):</b> - যদি পেট/অন্ত্র কাজ না করে, তখন সরাসরি রক্তে।</li></ol></div><br><h3>First Principle Thinking:</h3><div style=""text-align: left;"">ন্যাচারাল পথ (মুখ) সেরা। রাস্তা বন্ধ হলে বাইপাস (টিউব)। আর পুরো সিস্টেম নষ্ট হলে ডাইরেক্ট সাপ্লাই (রক্তে/IV)।</div><br><b>Case Study Question:</b> A patient is unconscious but has a healthy digestive tract. Should you give TPN? (Ans: No, Tube feeding is preferred because GIT is working)."
"<b>Topic: Intravenous Feeding (Simple IV)</b><br><br>What is Simple IV feeding and its objective?","<h3>Explanation:</h3><div style=""text-align: left;"">এটি হলো সাধারণ স্যালাইন বা গ্লুকোজ যা আমরা হাসপাতালে দেখি।<br><b>Objectives:</b><ul><li>পানির শূন্যতা রোধ (Water balance)।</li><li>ইলেকট্রোলাইট ব্যালেন্স।</li><li>সাময়িক শক্তি (Energy)।</li></ul></div><br><h3>Difference:</h3><div style=""text-align: left;"">এটা কিন্তু ""সম্পূর্ণ খাবার"" নয়। এটা শুধুই ইমার্জেন্সি সাপোর্ট। এতে প্রোটিন বা ফ্যাট থাকে না।</div><br><b>Exam Question:</b> Why is simple IV dextrose not a long-term nutritional solution?"
"<b>Topic: TPN (Total Parenteral Nutrition)</b><br><br>What is TPN? Definition and Concept.","<h3>Definition:</h3><div style=""text-align: left;""><b>TPN</b> মানে হলো শরীরের সব প্রয়োজনীয় পুষ্টি (Carbs, Protein, Fats, Vitamins) পরিপাকতন্ত্রকে (GIT) বাইপাস করে সরাসরি বড় শিরার (Large Vein) মাধ্যমে দেওয়া।</div><br><h3>Analogy (Highway Bypass):</h3><div style=""text-align: left;"">আপনার পেটের রাস্তা (GIT Road) ভেঙে গেছে। তাই খাবারের ট্রাকগুলো এখন ছোট রাস্তা দিয়ে না গিয়ে আকাশপথে (Veins) সরাসরি কোষে ল্যান্ড করছে।</div><br><h3>See-Link-Animate:</h3><div style=""text-align: left;"">একটি স্যালাইন ব্যাগ কল্পনা করুন যা দুধের মতো সাদা (কারণ এতে ফ্যাট বা Lipid থাকে), এবং এটি সরাসরি হার্টের কাছে বড় শিরায় (Vena Cava) যুক্ত।</div><br><b>Exam Question:</b> Why is TPN called ""Bypassing the GIT""?"
"<b>Topic: Indications for TPN</b><br><br>When should TPN be used? (Conditions)","<h3>Conditions:</h3><div style=""text-align: left;""><ul><li><b>Chemotherapy:</b> যখন রোগী খেতে পারে না।</li><li><b>GIT Unavailable:</b> পেট বা অন্ত্র কাজ করছে না বা সার্জারি হয়েছে।</li><li><b>Severe Burns/Malnutrition:</b> দ্রুত রিকভারির জন্য।</li><li><b>Bone Marrow Transplant.</b></li></ul></div><br><h3>Why?</h3><div style=""text-align: left;"">কারণ এই অবস্থায় রোগী মুখ দিয়ে খেয়ে পর্যাপ্ত পুষ্টি পায় না, অথবা খেলে হজম হবে না।</div><br><b>Exam Question:</b> List 3 clinical conditions where TPN is mandatory."
"<b>Topic: Cyclic TPN</b><br><br>What is Cyclic TPN?","<h3>Definition:</h3><div style=""text-align: left;"">সারা দিন ধরে স্যালাইন না দিয়ে, নির্দিষ্ট সময়ের জন্য (সাধারণত রাতে ১০-১২ ঘণ্টা) TPN দেওয়াকে <b>Cyclic TPN</b> বলে।</div><br><h3>Analogy:</h3><div style=""text-align: left;"">মোবাইল ফোন যেমন সারা দিন চার্জে না রেখে রাতে চার্জে দেন, তেমনি রোগীকে রাতে পুষ্টি দেওয়া হয় যাতে দিনের বেলা সে চলাফেরা করতে পারে।</div><br><b>Exam Question:</b> What is the advantage of Cyclic TPN for a patient's mobility?"
"<b>Topic: PPN vs CPN/TPN</b><br><br>Difference between Peripheral (PPN) and Central (TPN) nutrition.","<h3>Comparison:</h3><div style=""text-align: left;""><ul><li><b>PPN (Peripheral):</b> হাতের ছোট শিরা (Small vein in arm) দিয়ে দেওয়া হয়। স্বল্প সময়ের জন্য। কম ঘনত্বের খাবার।</li><li><b>TPN (Central):</b> বুকের বড় শিরা (Superior Vena Cava) দিয়ে দেওয়া হয়। দীর্ঘ সময়ের জন্য। বেশি ঘনত্বের (High Osmolality) খাবার।</li></ul></div><br><h3>Visual Hook:</h3><div style=""text-align: left;"">PPN হলো সরু গলি দিয়ে রিক্সা যাওয়া। TPN হলো হাইওয়ে দিয়ে বড় ট্রাক যাওয়া।</div><br><b>Exam Question:</b> Why can't we give highly concentrated TPN solutions through a small arm vein? (Ans: It will damage the vein/Thrombosis)."
"<b>Topic: Elimination Diet Therapy</b><br><br>What is Elimination Diet? (Example: Allergy/ADHD)","<h3>Concept:</h3><div style=""text-align: left;"">খাবার থেকে নির্দিষ্ট কিছু উপাদান বাদ দেওয়া যা রোগীর ক্ষতি করছে।<br><b>Example:</b> এলার্জির জন্য বিশেষ খাবার বাদ দেওয়া। অথবা, হাইপারঅ্যাকটিভ শিশুদের (ADHD) ডায়েট থেকে কৃত্রিম রং বা চিনি বাদ দেওয়া।</div><br><h3>First Principle:</h3><div style=""text-align: left;"">Remove the trigger -> Stop the reaction. সমস্যার মূল কারণ (খাবার) সরিয়ে ফেললে লক্ষণ কমে যাবে।</div><br><b>Case Study Question:</b> A child has ADHD. What type of diet therapy might be suggested? (Ans: Elimination Diet)."
