"Front","Back"
"1. What does “biomimetic nanostructure” refer to?","b) Artificial structures mimicking biological systems"
"2. Why does nature inspire nanostructure design?","b) Evolution has optimized efficiency and functionality"
"3. Typical size range of nanostructures is:","b) 1–100 nm"
"4. Biological building blocks such as DNA and proteins are at which scale?","c) Nanoscale"
"5. Hierarchy in biological structures means:","a) Simple molecules form macroscopic systems through multiple scales"
"6. Which property becomes dominant at the nanoscale?","b) Surface-to-volume ratio"
"7. Quantum effects in nanostructures influence:","b) Electrical and optical properties"
"8. The strength and toughness of bone is due to:","a) Collagen and hydroxyapatite at nanoscale"
"9. Lotus leaf surfaces demonstrate:","b) Superhydrophobicity"
"10. The lotus effect is due to:","c) Rough nanostructured surface and hydrophobic wax crystals"
"11. The contact angle of lotus leaf water droplets is typically:","c) >150°"
"12. Gecko adhesion is achieved via:","b) Van der Waals forces"
"13. The gecko’s foot hairs are called:","b) Setae"
"14. Butterfly wings exhibit colors due to:","b) Nanostructured photonic crystals"
"15. Color in butterfly wings is termed:","a) Structural coloration"
"16. Moth eyes have which key feature?","b) Subwavelength protuberances reducing reflection"
"17. Anti-reflective coatings based on moth eyes are used in:","b) Solar cells and camera lenses"
"18. Which is a top-down approach?","b) Lithography"
"19. Lithography creates nanostructures by:","b) Etching patterns"
"20. Reactive ion etching is used for:","b) Creating high-aspect-ratio structures"
"21. Bottom-up fabrication involves:","b) Assembling from atoms or molecules"
"22. An example of bottom-up technique:","b) Self-assembly"
"23. Chemical vapor deposition (CVD) is mainly used for:","a) Depositing thin films"
"24. Sol-gel processes mimic:","b) Silica nanostructures of diatoms"
"25. Biofabrication refers to:","a) Using biological organisms or templates"
"26. Which organism is used as a template for silica structures?","b) Diatoms"
"27. Moth-eye inspired coatings are used in:","b) Solar energy devices"
"28. Lotus-inspired materials are mainly used for:","b) Self-cleaning surfaces"
"29. Gecko-inspired technology has led to:","a) Adhesive tapes and robotics gripping systems"
"30. Which is an application of anti-fouling nanostructures?","a) Resisting bacterial adhesion"
"31. Viral capsid-inspired nanostructures are used for:","b) Drug delivery"
"32. Cephalopod skin inspires nanostructures for:","a) Camouflage and adaptive materials"
"33. Shark-skin-inspired surfaces are beneficial for:","a) Drag reduction in fluids"
"34. In medicine, nanostructured surfaces can:","b) Prevent biofouling"
"35. Superhydrophobic coatings in wind turbines prevent:","b) Water accumulation and ice formation"
"36. A major challenge in biomimetic nanostructures is:","b) Scalability of fabrication"
"37. Why are nanostructured surfaces sometimes fragile?","b) Small size leads to low mechanical durability"
"38. Integrating multiple biomimetic functions is difficult due to:","d) Complexity of combining properties"
"39. Sustainable synthesis aims to:","a) Use eco-friendly processes"
"40. Which of the following is not a future challenge?","d) Pigmentation"
