"front","Back"
"ওয়ার্ড প্রসেসর ব্যবহারের কৌশল ব্যাখ্যা করতে কী ব্যবহার করা হয়?","সঠিক পরিভাষা।"
"এই অধ্যায়ে কোন কী-বোর্ড ব্যবহারের কৌশল ব্যাখ্যা করা হয়েছে?","বাংলা কী-বোর্ড।"
"এই অধ্যায় শেষে শিক্ষার্থীরা কী ব্যবস্থাপনা ব্যাখ্যা করতে পারবে?","ডকুমেন্ট ব্যবস্থাপনা।"
"ওয়ার্ড প্রসেসরের প্রধান ইনপুট ডিভাইস কোনটি?","কীবোর্ড।"
"সর্বপ্রথম বাংলা টাইপ রাইটারের জন্য বিজ্ঞানসম্মত কীবোর্ড লে-আউট কে তৈরি করেন?","অধ্যাপক শহীদ বুদ্ধিজীবী মুনীর চৌধুরী।"
"মুনীর চৌধুরী কবে বাংলা টাইপ রাইটারের জন্য কীবোর্ড লে-আউট তৈরি করেন?","১৯৬৫ সালে।"
"মুনীর চৌধুরী কোন বিভাগের অধ্যাপক ছিলেন?","ঢাকা বিশ্ববিদ্যালয়ের বাংলা বিভাগের।"
"১৯৮৫ সালে কিছু বাংলা ফন্টসহ কোন সফটওয়্যারটি প্রবর্তিত হয়?","শহীদ লিপি সফটওয়্যার।"
"আশির ও নব্বই এর দশকে জনপ্রিয় কিছু বাংলা লেখার সফটওয়্যারের নাম কী?","বিজয়, প্রশিকা শব্দ, প্রবর্তনা, লেখনী।"
"কোন বাংলা লেখার সফটওয়্যারটি ব্যাপক জনপ্রিয়তা লাভ করে?","বিজয় সফটওয়্যার।"
"ওয়ার্ড প্রসেসরে বিজয় কীবোর্ড সচল করতে কোন কী একসাথে চাপতে হয়?","Ctrl+Alt+B।"
"বিজয় কীবোর্ডে দুটি অক্ষর যুক্ত করতে প্রথম অক্ষর চেপে কোন ইংরেজি কী চাপতে হয়?","ইংরেজি জি (g)।"
"বিজয় কীবোর্ডে 'ক্ষ' (kkh) লিখতে কোন কী-গুলো চাপতে হয়?","j (ক) + g + N (ষ)।"
