"front","back"
"মানুষ নিজেকে প্রকাশ করার জন্য যে মাধ্যমগুলো ব্যবহার করে সেগুলোকে কী বলে?","মিডিয়া বা মাধ্যম"
"অনেকগুলো প্রকাশ মাধ্যমকে একসাথে কী বলে?","মাল্টিমিডিয়া"
"মাল্টিমিডিয়া মানে কী?","বহু মাধ্যম"
"যে বহু মাধ্যমের সাথে ব্যবহারকারী যোগাযোগ করতে পারে, তাকে কী বলে?","ইন্টারঅ্যাকটিভ মাল্টিমিডিয়া"
"মানুষের তিনটি প্রধান প্রকাশ মাধ্যম কী কী?","বর্ণ, চিত্র এবং শব্দ"
"কাগজের প্রকাশনা বা রেডিওকে কি মাল্টিমিডিয়া বলা যায়?","না"
"ভিডিও গেমস বা শিক্ষামূলক সফটওয়্যারকে কী ধরনের মাল্টিমিডিয়া বলা হয়?","ইন্টারঅ্যাকটিভ মাল্টিমিডিয়া"
"আজকের দিনের মাল্টিমিডিয়ার পূর্বপুরুষ কাকে বলা হয়?","সিনেমা বা চলচ্চিত্র"
"সিনেমা বা চলচ্চিত্র কত সালে উদ্ভব হয়?","১৮৯৫ সালে"
"কম্পিউটারে মাল্টিমিডিয়া মানে বর্ণ, চিত্র ও শব্দের সমন্বয়ে কী ধরনের অভিজ্ঞতা?","একটি ইন্টারঅ্যাকটিভ অভিজ্ঞতা"
"মাল্টিমিডিয়ার প্রধান মাধ্যমসমূহ কী কী?","টেক্সট (বর্ণ), চিত্র (গ্রাফিক্স), শব্দ (অডিও), ভিডিও, এনিমেশন, ইন্টারঅ্যাকটিভ কম্পিউটিং"
"একসময় লেখালেখির কাজে টাইপরাইটারের বদলে এখন কী ব্যবহৃত হয়?","কম্পিউটার"
"ভিডিয়োকে কার্যত কী ধরনের গ্রাফিক্স বলা যেতে পারে?","চলমান গ্রাফিক্স"
"এনিমেশন কী ধরনের গ্রাফিক্স বা চিত্র?","চলমান বা স্থির (দ্বিমাত্রিক বা ত্রিমাত্রিক)"
"শব্দ বা অডিও রেকর্ড ও সম্পাদনার কাজ এখন কিসের উপর নির্ভরশীল?","কম্পিউটার"
"শ্রেণিকক্ষে সহজে বিষয় উপস্থাপনের জন্য কী ব্যবহৃত হয়?","মাল্টিমিডিয়া"
"শিক্ষার উপকরণ হিসেবে ব্যবহৃত কয়েকটি বাংলাদেশি মাল্টিমিডিয়া সফটওয়্যারের নাম কী?","বাংলাদেশ-৭১, অবসর, বিশ্বকোষ, নামাজ শিক্ষা, বিজয় শিশু শিক্ষা"
"বিনোদনের ক্ষেত্রে মাল্টিমিডিয়ার ব্যবহার কোনটি?","সিনেমায় স্পেশাল ইফেক্ট"
"যারা টেক্সট, গ্রাফিক্স, অডিও, ভিডিও, এনিমেশন ইত্যাদি নিয়ে কাজ করেন তাদের কী বলা হয়?","মাল্টিমিডিয়া কনটেন্টস ডেভেলপার"
"যে সফটওয়্যার দিয়ে মিডিয়াগুলোকে মিলিয়ে ইন্টারঅ্যাকটিভ অ্যাপ্লিকেশন তৈরি করা যায়, তাকে কী বলে?","মাল্টিমিডিয়া অথরিং সফটওয়্যার (যেমন: ডিরেক্টর)"
"front","back"
"সভা, সেমিনার বা কর্মশালায় তথ্য উপস্থাপনের জন্য কোন সফটওয়্যার ব্যবহৃত হয়?","প্রেজেন্টেশন সফটওয়্যার"
