"Front","Back"
"sin 0°","0"
"sin 30°","1/2"
"sin 45°","1/√2"
"sin 60°","√3/2"
"sin 90°","1"
"cos 0°","1"
"cos 30°","√3/2"
"cos 45°","1/√2"
"cos 60°","1/2"
"cos 90°","0"
"tan 0°","0"
"tan 30°","1/√3"
"tan 45°","1"
"tan 60°","√3"
"tan 90°","undefined"
"cot 0°","undefined"
"cot 30°","√3"
"cot 45°","1"
"cot 60°","1/√3"
"cot 90°","0"
"sec 0°","1"
"sec 30°","2/√3"
"sec 45°","√2"
"sec 60°","2"
"sec 90°","undefined"
"cosec 0°","undefined"
"cosec 30°","2"
"cosec 45°","√2"
"cosec 60°","2/√3"
"cosec 90°","1"
