Front,Back
"📊 <b>What is Data?</b>","<b>💡 Emotional Hook:</b> Imagine collecting puzzle pieces—each piece is raw data!<br><br><b>📖 Definition:</b> Data refers to raw facts or figures without context—like names, numbers, or locations.<br><br><b>🌍 Examples:</b><br>• 'John'<br>• '24'<br>• 'Dhaka'<br><br><b>🔮 Analogies:</b><br>• Like individual Lego blocks without a structure<br>• Like ingredients before cooking<br>• Like words randomly written on paper"
"🧠 <b>What is Information?</b>","<b>🎯 Emotional Hook:</b> Data becomes meaningful when it's like a completed puzzle—now you can see the picture!<br><br><b>📖 Definition:</b> Information is processed, organized, or structured data that makes sense and tells a story.<br><br><b>🌍 Examples:</b><br>• 'John is 24 years old and lives in Dhaka.'<br><br><b>🔮 Analogies:</b><br>• Like a finished meal from raw ingredients<br>• Like a completed Lego structure<br>• Like a full sentence made of words"
"🗄️ <b>What is a Database?</b>","<b>🌟 Emotional Hook:</b> Think of a digital filing cabinet that stores your important documents neatly—this is your database!<br><br><b>📖 Definition:</b> A database is a structured collection of related data, stored electronically so it can be easily accessed, managed, and updated.<br><br><b>🌍 Examples:</b><br>• Student records in a school system<br>• Contact list on your phone<br>• Product inventory in an online store<br><br><b>🔮 Analogies:</b><br>• Like a well-organized library<br>• Like your phone’s photo album<br>• Like a recipe book with categories"
Front,Back
"🛠️ <b>What is DBMS?</b>","<b>💡 Emotional Hook:</b> Imagine trying to organize thousands of files without folders—it'd be chaos! That’s where DBMS comes in.<br><br><b>📖 Definition:</b> DBMS stands for Database Management System. It is software that helps store, manage, and retrieve data efficiently.<br><br><b>🌍 Examples:</b><br>• MySQL<br>• Oracle<br>• PostgreSQL<br><br><b>🔮 Analogies:</b><br>• Like a digital librarian who finds your book instantly<br>• Like a file cabinet with a smart search feature<br>• Like a manager for your data"
"🎯 <b>Why use a DBMS?</b>","<b>🎯 Emotional Hook:</b> Think of DBMS like your brain organizing memories—avoiding confusion, keeping things secure, and recalling info when needed!<br><br><b>📖 Benefits:</b><br>• Prevents data duplication<br>• Ensures data security and consistency<br>• Supports access by multiple users<br>• Makes backup and recovery easier<br><br><b>🔮 Analogies:</b><br>• Like Google Drive for your data<br>• Like a team calendar everyone can use<br>• Like a security vault with shared access"
"💬 <b>What is SQL?</b>","<b>💡 Emotional Hook:</b> Think of SQL as the language you use to talk to your data—it’s like texting your database!<br><br><b>📖 Definition:</b> SQL stands for Structured Query Language. It is used to create, modify, and query data in a database.<br><br><b>🌍 Example:</b> `SELECT * FROM students;` (fetches all student records)<br><br><b>🔮 Analogies:</b><br>• Like a menu you use to order food at a restaurant<br>• Like commands you give to Siri or Alexa<br>• Like speaking a language the database understands"
Front,Back
"🌲 <b>Hierarchical Model</b>","<b>🌟 Emotional Hook:</b> Remember your family tree? That’s how this model works—parents and children in strict order!<br><br><b>📖 Description:</b> Organizes data in a tree-like structure where each child has only one parent.<br><br><b>✅ Pros:</b> Very fast for hierarchical data<br><b>❌ Cons:</b> Not flexible, hard to redesign<br><br><b>🔮 Analogies:</b><br>• Like folders inside folders on your computer<br>• Like a company org chart<br>• Like a directory tree"
