"Front","Back"
"নবুয়্যাতের সূচনা কখন হয়?","হযরত মুহাম্মদ ﷺ এর বয়স যখন প্রায় ৪০ বছর, তখন নবুয়্যাতের সূচনা হয়।"
"নবুয়্যাতের সূচনার আগে হযরত ﷺ কেমন চিন্তায় মগ্ন থাকতেন?","তিনি সমাজের নৈতিক ও ধর্মীয় অধঃপতন দেখে চিন্তায় মগ্ন থাকতেন এবং একাকী আল্লাহর ধ্যানে নিমগ্ন থাকতেন।"
"হেরা গুহা কোথায় অবস্থিত?","মক্কা থেকে প্রায় তিন মাইল দূরে জাবালুন্নূর পর্বতে অবস্থিত।"
"হেরা গুহায় হযরত ﷺ কী করতেন?","তিনি সেখানে নির্জনে বসে গভীরভাবে চিন্তা ও আল্লাহর ধ্যানে মগ্ন থাকতেন।"
"হেরা গুহায় অবস্থানকালে কে কখনও খাদ্য পৌঁছে দিতেন?","হযরত খাদীজা (রা) কখনও খাদ্য পৌঁছে দিতেন।"
"প্রথম ওহী কোন মাসে ও কোথায় নাযিল হয়?","রমজান মাসের শেষ দশকে হেরা গুহায় প্রথম ওহী নাযিল হয়।"
"প্রথম ওহী কার মাধ্যমে নাযিল হয়?","ফেরেশতা জিবরাঈল (আ) এর মাধ্যমে।"
"জিবরাঈল (আ) প্রথমে কী বলেছিলেন?","তিনি বলেন, 'পড়ো (اقرأ)'।"
"হযরত ﷺ কী জবাব দিয়েছিলেন?","তিনি বলেন, 'আমি পড়তে জানি না।'"
"প্রথম ওহীর আয়াতগুলো কী ছিল?","اقْرَأْ بِاسْمِ رَبِّكَ الَّذِي خَلَقَ ... عَلَّمَ الْإِنسَانَ مَا لَمْ يَعْلَمْ"
"প্রথম ওহীর অর্থ কী?","‘পড়ো তোমার প্রভুর নামে, যিনি সৃষ্টি করেছেন… যিনি কলম দ্বারা শিক্ষা দিয়েছেন… মানুষকে শিখিয়েছেন যা সে জানতো না।’"
"ওহী প্রাপ্তির পর হযরত ﷺ কী অবস্থায় ছিলেন?","তিনি ভীত ও কাঁপছিলেন, তারপর খাদীজা (রা)-কে বললেন, ‘আমাকে কম্বল দিয়ে ঢেকে দাও।’"
"খাদীজা (রা) কীভাবে তাঁকে আশ্বস্ত করেন?","তিনি বলেন, 'আপনার জীবনের ভয় নেই, আপনি আত্মীয়দের হক আদায় করেন, গরিবদের সাহায্য করেন, মেহমানদারি করেন, ইনসাফ করেন।'"
"খাদীজা (রা) তাঁকে কাদের কাছে নিয়ে যান?","অরাকা বিন নওফেল নামে এক প্রবীণ খ্রিস্টান ধর্মবেত্তার কাছে।"
"অরাকা বিন নওফেল হযরত ﷺ সম্পর্কে কী বলেন?","তিনি বলেন, 'এ হচ্ছে সেই নামূস (জিবরাঈল), যিনি মূসা (আ)-এর ওপর ওহী এনেছিলেন।'"
"অরাকা কেন দুঃখ প্রকাশ করেন?","তিনি বলেন, 'হায়! তোমার কওম যখন তোমাকে বের করে দেবে, তখন যদি আমি জীবিত থাকতাম, তোমাকে সাহায্য করতাম।'"
"অরাকা বিন নওফেলের কী হয় পরে?","কিছুদিন পরেই তাঁর মৃত্যু হয়।"
"প্রথম ওহীর পর কিছুদিন কী অবস্থা ছিল?","কিছুদিন জিবরাঈল (আ)-এর আগমন বন্ধ থাকে।"
"এই বিরতির ফল কী হয়েছিল?","হযরত ﷺ এর অন্তরে ওহী প্রাপ্তির প্রতি আগ্রহ ও উৎসুকতা জন্ম নেয়।"
"পরে জিবরাঈল (আ) কীভাবে আসতেন?","শুরুতে মাঝে মাঝে, পরে ঘন ঘন এসে তাঁকে আশ্বস্ত করতেন যে তিনি আল্লাহর রাসূল।"
