Front,Back
"<b>Topic: থেরাপিউটিক ডায়েট বা পথ্য (Therapeutic Diet)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>What:</b> What is the definition and primary aim of a therapeutic diet?<br>2. <b>How:</b> How does it differ from a normal diet?<br>3. <b>Why:</b> Why is it called a ""modification"" rather than a new diet?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>থেরাপিউটিক ডায়েট হলো সাধারণ খাবারকেই রোগীর প্রয়োজন অনুযায়ী একটু পরিবর্তন করা (Modification)। এর উদ্দেশ্য হলো রোগীর পুষ্টির অভাব পূরণ করা এবং দ্রুত সুস্থ হতে সাহায্য করা। যেমন: ডায়াবেটিস রোগীর জন্য চিনি বাদ দেওয়া।<br><br><b>First Principles Thinking:</b><br>রোগীর শরীরের স্বাভাবিক মেটাবলিজম কাজ করছে না &#8594; সাধারণ খাবার হজম বা শোষণ করতে সমস্যা হতে পারে &#8594; তাই সাধারণ খাবারকেই একটু ""কাটছাঁট"" (Modify) করে রোগীর উপযোগী করা হয়।<br><br><b>Analogy (Bizarreness Effect):</b><br>থেরাপিউটিক ডায়েট হলো ""রেডিমেড জামা অল্টার করা""। দোকান থেকে কেনা জামা (Normal Diet) যদি আপনার গায়ে ঢিলা বা টাইট হয়, তবে দর্জি যেমন সেটা কেটে ঠিক করে দেয় (Modification), ঠিক তেমনি পুষ্টিবিদরা সাধারণ খাবারকে কেটে-ছেঁটে রোগীর মাপে তৈরি করেন।<br><br><b>Example:</b><br>হার্টের রোগীর জন্য খাবারে লবণ কমানো, বা কিডনি রোগীর জন্য প্রোটিন কমানো।<br><br><b>See–Link–Animate:</b><br>ভাবুন একজন ডাক্তার স্টেথিসকোপের বদলে হাতে একটি কাঁটা-চামচ (Fork) নিয়ে রোগীর প্লেটের খাবারগুলো মাপজোক করছেন।"
"<b>Topic: আইয়াট্রোজেনিক অপুষ্টি (Iatrogenic Malnutrition)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>What:</b> Define Iatrogenic Malnutrition.<br>2. <b>Why:</b> Why does hospitalization lead to weight loss in patients?<br>3. <b>Case Study:</b> A patient admitted for surgery loses 5kg in 2 weeks despite no GI disease. Explain why.","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>হাসপাতালে ভর্তি থাকার কারণে বা চিকিৎসার ফলে যে অপুষ্টি হয়, তাকে আইয়াট্রোজেনিক ম্যালনিউট্রিশন বলে। বিভিন্ন টেস্টের জন্য না খেয়ে থাকা (Fasting), ওষুধের পার্শ্বপ্রতিক্রিয়া, বা হাসপাতালের পরিবেশের চাপে রোগী ঠিকমতো খেতে পারে না।<br><br><b>First Principles Thinking:</b><br>রোগী সুস্থ হতে হাসপাতালে আসে &#8594; কিন্তু টেস্টের জন্য বারবার ""Nil by Mouth"" বা না খেয়ে থাকতে হয় &#8594; এতে ক্যালরি ইনপুট কমে যায় &#8594; ফলে উল্টো অপুষ্টি তৈরি হয়।<br><br><b>Analogy (Bizarreness Effect):</b><br>এটি অনেকটা ""গাড়ির গ্যারেজে গাড়ি নষ্ট হওয়া""র মতো। আপনি গাড়ি ঠিক করতে গ্যারেজে (Hospital) দিলেন, কিন্তু মেকানিকরা গাড়িটি এত দিন ফেলে রাখল যে তার ব্যাটারি ডাউন হয়ে গেল (Malnutrition)।<br><br><b>Example:</b><br>টানা ১০ দিন স্যালাইনের ওপর থাকলে রোগীর পেশী ক্ষয় হতে থাকে।<br><br><b>See–Link–Animate:</b><br>একজন ডাক্তার সাদা কোট পরে রোগীকে ওষুধ দিচ্ছেন, কিন্তু ওষুধের বদলে প্লেট থেকে খাবারগুলো জাদুকরের মতো গায়েব করে ফেলছেন।"
"<b>Topic: ক্লিয়ার লিকুইড ডায়েট (Clear-liquid Diet)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>What:</b> List 4 foods included in a clear-liquid diet.<br>2. <b>Why:</b> Why is milk excluded from this diet?<br>3. <b>When:</b> When is this diet prescribed post-surgery?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>যেসব তরল খাবার স্বচ্ছ এবং কোনো তলানি (Residue) থাকে না, তাকে ক্লিয়ার লিকুইড ডায়েট বলে। যেমন: ডাবের পানি, রঙ চা, ক্লিয়ার সুপ। দুধ এতে পড়ে না কারণ দুধ অস্বচ্ছ এবং হজম হতে সময় লাগে। এটি সাধারণত অপারেশনের পরপরই দেওয়া হয়।<br><br><b>First Principles Thinking:</b><br>অপারেশনের পর পাকস্থলী দুর্বল থাকে &#8594; তাই এমন খাবার দরকার যা হজম করতে কোনো কষ্ট হয় না এবং কোনো বর্জ্য তৈরি করে না &#8594; স্বচ্ছ তরলই একমাত্র সমাধান।<br><br><b>Analogy (Bizarreness Effect):</b><br>ক্লিয়ার লিকুইড ডায়েট হলো গাড়ির ইঞ্জিনে ""মবিল"" দেওয়ার আগে ""ফ্লাশিং অয়েল"" দিয়ে পরিষ্কার করার মতো। এটি সিস্টেমকে চালু করে কিন্তু কোনো চাপ দেয় না।<br><br><b>Example:</b><br>ডায়রিয়া বা বমির পর পাকস্থলীকে বিশ্রাম দিতে এই ডায়েট দেওয়া হয়।<br><br><b>See–Link–Animate:</b><br>একটি কাঁচের গ্লাসে একদম স্বচ্ছ পানি রাখা, তার ভেতর দিয়ে অপর পাশের সবকিছু দেখা যাচ্ছে—এটাই ক্লিয়ার লিকুইড।"
"<b>Topic: ফুল লিকুইড ডায়েট (Full-liquid Diet)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>How:</b> How does it differ from a clear-liquid diet?<br>2. <b>What:</b> How can you increase the protein content of a full-liquid diet?<br>3. <b>Note:</b> Write a note on the nutritional adequacy of this diet.","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>যেসব খাবার শরীরের তাপমাত্রায় তরল থাকে, তাকেই ফুল লিকুইড ডায়েট বলে। এতে দুধ, আইসক্রিম, কাস্টার্ড, ফলের রস—সবই খাওয়া যায়। ক্লিয়ার লিকুইডের পর এবং শক্ত খাবার (Solid food) খাওয়ার আগে এটি দেওয়া হয়।<br><br><b>First Principles Thinking:</b><br>রোগীর হজমশক্তি একটু ফিরে এসেছে &#8594; এখন পুষ্টি দরকার &#8594; তাই দুধ ও প্রোটিন যুক্ত তরল খাবার দেওয়া হয় যা চিবোতে হয় না কিন্তু শক্তি যোগায়।<br><br><b>Analogy (Bizarreness Effect):</b><br>ক্লিয়ার লিকুইড যদি ""পানি"" হয়, তবে ফুল লিকুইড হলো ""স্মুদি"" (Smoothie)। এটি অনেক বেশি ঘন এবং শক্তিশালী।<br><br><b>Example:</b><br>দুধের সাথে গুঁড়ো দুধ (SMP) মিশিয়ে এর প্রোটিন বাড়ানো যায়।<br><br><b>See–Link–Animate:</b><br>একটি ব্লেন্ডারে আস্ত মুরগি, ভাত আর সবজি দিয়ে ব্লেন্ড করে লিকুইড বানানো হচ্ছে—রোগী সেটা স্ট্র দিয়ে খাচ্ছে।"
"<b>Topic: সফট ডায়েট বা নরম পথ্য (Soft Diet)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>What:</b> Distinguish between Mechanically Soft and Fiber-Restricted Soft diet.<br>2. <b>Who:</b> Who are the target patients for a Mechanically Soft diet?<br>3. <b>How:</b> How can indigestible carbohydrates be reduced in a diet?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>সফট ডায়েট দুই ধরণের:<br>১. <b>Mechanically Soft:</b> যাদের দাঁত নেই বা চিবোতে সমস্যা, তাদের জন্য খাবার ব্লেন্ড বা চটকে নরম করা হয় (Dental Soft Diet)।<br>২. <b>Fiber-Restricted:</b> যাদের হজমে সমস্যা, তাদের জন্য আঁশজাতীয় খাবার (যেমন: খোসা, ডাঁটা) বাদ দিয়ে নরম খাবার দেওয়া হয়।<br><br><b>First Principles Thinking:</b><br>সমস্যা কি দাঁতে না পেটে? &#8594; দাঁতে সমস্যা হলে শুধু নরম করলেই হবে (Mechanically Soft) &#8594; পেটে সমস্যা হলে আঁশ বাদ দিতে হবে (Fiber-restricted)।<br><br><b>Analogy (Bizarreness Effect):</b><br>Mechanically Soft ডায়েট হলো ""শিশুর খাবার"" (Baby food) যা বড়রা খায়। আর Fiber-Restricted ডায়েট হলো ""খোসা ছাড়ানো কলা""—নরম এবং কোনো আবর্জনা নেই।<br><br><b>Example:</b><br>Mechanically Soft: ব্লেন্ড করা মাংস। Fiber-Restricted: খোসা ছাড়া আপেল সিদ্ধ।<br><br><b>See–Link–Animate:</b><br>একজন বৃদ্ধ লোক দাঁতহীন মাড়িতে নরম খিচুড়ি খাচ্ছেন (Mechanically Soft), আর পাশের বেডে একজন পেটের রোগী খোসা ছাড়া আলু সিদ্ধ খাচ্ছেন (Fiber-restricted)।"
"<b>Topic: টিউব ফিডিং (Tube Feeding / Enteral Nutrition)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>When:</b> List 4 conditions requiring tube feeding.<br>2. <b>What:</b> What is Osmolality and why does it matter in formula feeds?<br>3. <b>How:</b> Distinguish between Nasogastric and Gastrostomy tubes.","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>যখন রোগীর পরিপাকতন্ত্র (Gut) কাজ করে কিন্তু সে মুখ দিয়ে খেতে পারে না (যেমন: অজ্ঞান রোগী, গলায় ক্যান্সার), তখন নাকে বা পেটে নল লাগিয়ে খাবার দেওয়া হয়। একে টিউব ফিডিং বলে। খাবারের ঘনত্ব (Osmolality) শরীরের তরলের সমান হতে হয়, না হলে ডায়রিয়া হতে পারে।<br><br><b>First Principles Thinking:</b><br>মুখ বন্ধ কিন্তু পেট খোলা &#8594; তাই বিকল্প রাস্তা (Tube) দিয়ে খাবার পেটে পাঠানো হয় &#8594; খাবারটি তরল হতে হবে যাতে নলের ভেতর দিয়ে যায়।<br><br><b>Analogy (Bizarreness Effect):</b><br>টিউব ফিডিং হলো ""বাইপাস রোড""। প্রধান সেতু (মুখ) ভেঙে গেছে, তাই ছোট রাস্তা (Nose/Stomach tube) দিয়ে ট্রাকে (Syringe) করে মালামাল (Food) কারখানায় (Stomach) পাঠানো হচ্ছে।<br><br><b>Example:</b><br>Premature babies যারা চুষে খেতে পারে না, তাদের টিউব ফিডিং দেওয়া হয়।<br><br><b>See–Link–Animate:</b><br>নাকের ভেতর দিয়ে একটি সরু পাইপ পেটে ঢুকেছে, আর নার্স সেই পাইপ দিয়ে দুধের মতো সাদা তরল পুশ করছেন।"
"<b>Topic: প্যারেন্টেরাল নিউট্রিশন (Parenteral Nutrition / TPN)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>When:</b> When is TPN (Total Parenteral Nutrition) prescribed?<br>2. <b>What:</b> What are the main components of a TPN solution?<br>3. <b>Why:</b> Why is TPN administered into a large central vein?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>যখন রোগীর পরিপাকতন্ত্র একদমই কাজ করে না (যেমন: অন্ত্র ফুটো হওয়া, তীব্র প্যানক্রিয়াটাইটিস), তখন সরাসরি শিরার (Vein) মাধ্যমে রক্তে পুষ্টি দেওয়া হয়। একে TPN বলে। এতে গ্লুকোজ, অ্যামিনো অ্যাসিড এবং লিপিড থাকে।<br><br><b>First Principles Thinking:</b><br>পেট অকেজো &#8594; হজম হবে না &#8594; তাই হজম করা খাবার (Digested nutrients) সরাসরি রক্তে মিশিয়ে দেওয়া হয় &#8594; রক্তের মাধ্যমে তা কোষে পৌঁছে যায়।<br><br><b>Analogy (Bizarreness Effect):</b><br>TPN হলো ""ডাইরেক্ট ফুয়েল ইঞ্জেকশন""। গাড়ির তেলের ট্যাঙ্ক (Stomach) ফুটো হয়ে গেছে, তাই সরাসরি ইঞ্জিনে (Bloodstream) পাইপ লাগিয়ে তেল দেওয়া হচ্ছে।<br><br><b>Example:</b><br>যাদের অন্ত্রের বিশাল অংশ কেটে ফেলা হয়েছে (Short Bowel Syndrome), তারা TPN এর ওপর বেঁচে থাকে।<br><br><b>See–Link–Animate:</b><br>রোগীর বুকের কাছে একটি বড় শিরায় (Central Vein) স্যালাইন ঝুলছে, আর সেই স্যালাইনের বোতলে লেখা ""রক্তের খাবার"" (Dextrose + Amino Acids)।"
"<b>Topic: এনার্জি নিড বা শক্তির চাহিদা নির্ণয় (Energy Needs Estimation)</b><br><br><b>Probable Exam Questions [2-5 Marks]:</b><br>1. <b>How:</b> How does illness/stress affect Resting Energy Expenditure (REE)?<br>2. <b>What:</b> Write the Harris-Benedict equation for men and women.<br>3. <b>Why:</b> Why is indirect calorimetry considered accurate?","<b>সহজ ব্যাখ্যা (Simple Explanation):</b><br>অসুস্থ অবস্থায় শরীরের শক্তির চাহিদা বদলে যায়। জ্বরে বা পোড়া রোগীর (Burn) শক্তি বেশি লাগে, আবার অপুষ্টিতে কম লাগে। Harris-Benedict সূত্র ব্যবহার করে রোগীর উচ্চতা, ওজন ও বয়স দিয়ে এই চাহিদা বের করা হয়।<br><br><b>First Principles Thinking:</b><br>শরীর একটি মেশিন &#8594; মেশিন চললে (বেঁচে থাকলে) জ্বালানি লাগে (BMR) &#8594; অসুখ হলে মেশিনে লোড বাড়ে (Stress factor) &#8594; তাই বেশি জ্বালানি দিতে হয়।<br><br><b>Analogy (Bizarreness Effect):</b><br>হ্যারিস-বেনেডিক্ট ইকুয়েশন হলো ""ক্যালকুলেটর""। আপনি এতে রোগীর বয়স আর ওজন ইনপুট দেন, আর এটি বলে দেয় রোগীকে কতোটুকু ""পেট্রোল"" (Calories) দিতে হবে।<br><br><b>Example:</b><br>জ্বর বা ইনফেকশনে REE বেড়ে যায়, তাই ক্যালরি ইনটেক বাড়াতে হয়।<br><br><b>See–Link–Animate:</b><br>একজন নার্স ফিতা দিয়ে রোগীর উচ্চতা মাপছেন এবং একটি ক্যালকুলেটরে খটখট করে হিসাব করে খাবারের প্লেটের সাইজ ঠিক করছেন।"
Front,Back
