"front","Back"
"RFLP - এর সংজ্ঞা (Definition) কী?","<b>RFLP</b> মানে হলো <b>Restriction Fragment Length Polymorphism</b>।<br><br><b>Feynman/Visualization (কাঁচি পরীক্ষা):</b> RFLP-কে একটি ""DNA কাঁচি পরীক্ষা"" (DNA Scissor Test) হিসেবে ভাবুন। আপনার কাছে দুটি ভিন্ন ব্যক্তির (A এবং B) DNA আছে। আপনি একটি নির্দিষ্ট ""আণবিক কাঁচি"" (<b>Restriction Enzyme</b>) ব্যবহার করেন যা শুধু একটি নির্দিষ্ট কোড (যেমন, GAATTC) পেলেই DNA-কে কাটে।<br><br><br><br><b>First Principle (মূল নীতি):</b> যদি ব্যক্তি A এবং B-এর DNA-তে ওই নির্দিষ্ট কোডটির (কাটার স্থান) কোনো পার্থক্য (<b>Polymorphism</b>) থাকে, তবে কাঁচিটি দুটি DNA-কে ভিন্ন ভিন্ন জায়গায় কাটবে। এর ফলে, দুটি স্যাম্পল থেকে ভিন্ন ভিন্ন দৈর্ঘ্যের (<b>Length</b>) DNA খণ্ড (<b>Fragment</b>) তৈরি হয়। এই দৈর্ঘ্যের পার্থক্য (Polymorphism) দেখেই দুটি DNA-কে আলাদা করা হয়।"
"RFLP - এর কার্যপ্রণালী (Procedure) কী?","RFLP পরীক্ষাটি কয়েকটি ধাপে সম্পন্ন হয়:<br>১. <b>DNA Isolation:</b> স্যাম্পল (যেমন, রক্ত) থেকে DNA সংগ্রহ করা হয়।<br>২. <b>Restriction Digestion:</b> DNA-কে ""আণবিক কাঁচি"" (<b>Restriction Enzyme</b>) দিয়ে কাটা হয়।<br>৩. <b>Gel Electrophoresis:</b> কাটা খণ্ডগুলিকে (Fragments) একটি জেলের (<b>Agarose Gel</b>) মধ্য দিয়ে দৌড় করানো হয়। ছোট খণ্ডগুলি দ্রুত দৌড়ায়, বড় খণ্ডগুলি পেছনে পড়ে থাকে।<br>৪. <b>Southern Blotting:</b> জেলটি ভঙ্গুর হওয়ায়, DNA ব্যান্ডগুলিকে জেল থেকে একটি শক্ত মেমব্রেনে (Nylon membrane) স্থানান্তর করা হয়।<br>৫. <b>Hybridization:</b> একটি তেজস্ক্রিয় (Radioactive) বা ফ্লুরোসেন্ট <b>Probe</b> (যা আমাদের কাঙ্ক্ষিত DNA খণ্ডের সঙ্গী) যোগ করা হয়। এই Probe গিয়ে তার নির্দিষ্ট খণ্ডের সাথে ""জোড়া বাঁধে""।<br>৬. <b>Autoradiography/Visualization:</b> একটি X-ray ফিল্মে এই লেগে থাকা Probe-এর ব্যান্ডগুলি দেখা হয়। দুটি স্যাম্পলের ব্যান্ডের প্যাটার্ন (<b>Pattern</b>) ভিন্ন হলে, তাদের DNA ভিন্ন।"
"RFLP - এর সুবিধা (Advantages) কী কী?","১. <b>উচ্চ নির্ভরযোগ্যতা (High Reliability):</b> এটি একটি <b>Codominant marker</b>। এর মানে হলো এটি একটি জিনের দুটি কপি (Alleles) আলাদাভাবে দেখাতে পারে (অর্থাৎ Homozygous এবং Heterozygous-এর মধ্যে পার্থক্য করতে পারে)।<br>২. <b>উচ্চ প্রজননযোগ্যতা (High Reproducibility):</b> পরীক্ষাটি সাবধানে করলে, বিশ্বের যেকোনো ল্যাবে একই স্যাম্পলের জন্য একই ফল পাওয়া যায়।<br>৩. <b>সরল নীতি (Simple Principle):</b> এর পেছনের মূলনীতি (কাটা এবং মাপা) খুবই সহজ এবং সলিড।"
"RFLP - এর সীমাবদ্ধতা (Limitations) কী কী?","১. <b>প্রচুর DNA প্রয়োজন (Requires large amount of DNA):</b> পরীক্ষার জন্য অনেক (micrograms) উচ্চ-মানের DNA লাগে, যা ক্রাইম সিন বা ছোট স্যাম্পল থেকে পাওয়া কঠিন।<br>২. <b>ধীর এবং শ্রমসাধ্য (Slow and Laborious):</b> Southern Blotting সহ পুরো প্রক্রিয়াটি শেষ হতে কয়েক দিন সময় লেগে যায়।<br>৩. <b>তেজস্ক্রিয়তার ব্যবহার (Use of Radioactivity):</b> সাধারণত Radioactive Probe লাগে যা অনিরাপদ এবং ব্যবস্থাপনায় ঝামেলার।<br>৪. <b>Automation সম্ভব নয়:</b> প্রক্রিয়াটি ম্যানুয়াল এবং স্বয়ংক্রিয় (automated) করা খুব কঠিন।"
"RFLP - এর প্রয়োগ (Applications) বা ব্যবহার (Uses) কী?","১. <b>জেনেটিক ম্যাপিং (Genetic Mapping):</b> কোনো রোগের জন্য দায়ী জিন (disease gene) খুঁজে বের করা।<br>২. <b>ফরেনসিক সায়েন্স (Forensic Science):</b> অপরাধী সনাক্তকরণ বা পিতৃত্ব পরীক্ষা (<b>Paternity testing</b>) (যদিও এটি এখন নতুন টেকনিক দ্বারা প্রতিস্থাপিত হয়েছে)।<br>৩. <b>বংশগত রোগ নির্ণয় (Disease Diagnosis):</b> বংশগত রোগ (যেমন, Sickle-cell anemia) নির্ণয় করা, যেখানে একটি মিউটেশনের কারণে Restriction Site পরিবর্তিত হয়ে যায়।"
"RAPD - এর সংজ্ঞা (Definition) কী?","<b>RAPD</b> মানে হলো <b>Random Amplified Polymorphic DNA</b>।<br><br><b>Feynman/Visualization (অন্ধ DNA ফটোকপি):</b> RAPD হলো ""অন্ধ DNA ফটোকপি"" (Blind DNA Photocopying)। ভাবুন, আপনি DNA-এর একটি বিশাল বই থেকে কিছু অংশ কপি করতে চান, কিন্তু আপনি জানেন না ঠিক কোথায় কপি করবেন।<br>আপনি একটি খুব ছোট এবং এলোমেলো (<b>Random</b>) ফটোকপি স্টার্ট বাটন (<b>Primer</b>) ব্যবহার করেন। এই বাটনটি (Primer) DNA-এর বইয়ে যেখানে যেখানে মোটামুটি মিলে যায়, সেখানে বসে পড়ে।<br><br><br><br><b>First Principle (মূল নীতি):</b> এটি একটি PCR-ভিত্তিক টেকনিক। যদি দুটি Random Primer (স্টার্ট বাটন) DNA-তে একে অপরের যথেষ্ট কাছাকাছি (একটি নির্দিষ্ট দূরত্বের মধ্যে) বসে, তবে মাঝখানের অংশটি কপি (<b>Amplified</b>) হয় এবং আমরা একটি ব্যান্ড (Band) পাই। যদি কোনো একটি স্যাম্পলে সামান্য পরিবর্তনের (<b>Polymorphism</b>) কারণে Primer বসতে না পারে, তবে কোনো কপি হয় না (ব্যান্ড অনুপস্থিত)। এই ব্যান্ড 'থাকা' বা 'না থাকা'র প্যাটার্ন দেখেই DNA-তে পার্থক্য বোঝা যায়।"
"RAPD - এর কার্যপ্রণালী (Procedure) কী?","RAPD হলো সবচেয়ে সহজ মলিকুলার টেকনিক:<br>১. <b>DNA Isolation:</b> খুব অল্প পরিমাণ DNA (nanograms) সংগ্রহ করা হয়।<br>২. <b>PCR Reaction Setup:</b> DNA, একটি <b>Single Random Primer</b> (সাধারণত ১০টি বেস পেয়ার দীর্ঘ), dNTPs এবং Taq Polymerase একসাথে মেশানো হয়। এখানে কোনো Restriction Enzyme লাগে না।<br>৩. <b>PCR Amplification:</b> থার্মাল সাইক্লারে (PCR মেশিন) DNA-কে কপি করা হয়। এটি কম তাপমাত্রায় (Low annealing temperature) কাজ করে যাতে Primer-টি DNA-এর বিভিন্ন Random জায়গায় বসতে পারে।<br>৪. <b>Gel Electrophoresis:</b> PCR-এর ফলে তৈরি হওয়া খণ্ডগুলিকে (Amplified fragments) একটি Agarose Gel-এর মাধ্যমে দৌড় করানো হয়।<br>৫. <b>Visualization:</b> UV আলোর নিচে Ethidium Bromide দিয়ে স্টেইন করা জেলের ছবি তোলা হয়। ব্যান্ডের প্যাটার্ন (Band Pattern) তুলনা করা হয়।"
"RAPD - এর সুবিধা (Advantages) কী কী?","১. <b>খুব দ্রুত এবং সহজ (Fast and Simple):</b> এটি শুধু একটি PCR এবং একটি জেল রান। কয়েক ঘণ্টার মধ্যে ফল পাওয়া যায়।<br>২. <b>অল্প DNA লাগে (Requires very little DNA):</b> PCR-ভিত্তিক হওয়ায় সামান্য স্যাম্পলই যথেষ্ট।<br>৩. <b>কোনো পূর্ব-তথ্যের প্রয়োজন নেই (No prior sequence information needed):</b> যেহেতু Primer-টি Random, তাই আপনি যে জীবের DNA নিয়ে কাজ করছেন তার Sequence সম্পর্কে আপনার কিছুই জানার প্রয়োজন নেই।<br>৪. <b>সস্তা (Inexpensive):</b> কোনো Restriction Enzyme বা Radioactive Probe লাগে না। শুধু Primer এবং PCR কিট লাগে।"
"RAPD - এর সীমাবদ্ধতা (Limitations) কী কী?","১. <b>অবিশ্বস্ত (Poor Reproducibility):</b> এটি এর প্রধান সমস্যা। এটি একটি ""অন্ধ"" পরীক্ষা। তাপমাত্রা বা কেমিক্যালের সামান্য পরিবর্তনেই Primer অন্য জায়গায় বসে যেতে পারে, ফলে ফলেরও পরিবর্তন হয় (banned pattern changes)। এক ল্যাবের ফলের সাথে অন্য ল্যাবের ফল মেলা কঠিন।<br>২. <b>Dominant Marker:</b> এটি একটি <b>Dominant marker</b>। এটি শুধু ব্যান্ড 'আছে' (Dominant) বা 'নেই' (Recessive) তা বলতে পারে। এটি RFLP-এর মতো Homozygous এবং Heterozygous-এর মধ্যে পার্থক্য করতে পারে না।<br>৩. <b>Artifacts:</b> অনেক সময় ভুল ব্যান্ড বা ""ভূতুড়ে ব্যান্ড"" (spurious bands) দেখা যায়।"
"RAPD - এর প্রয়োগ (Applications) বা ব্যবহার (Uses) কী?","এর অবিশ্বস্ততার কারণে, এটি উচ্চ-মানের গবেষণায় কম ব্যবহৃত হয়। তবে এটি দ্রুত প্রাথমিক পরীক্ষার জন্য ভালো।<br>১. <b>প্রজাতি সনাক্তকরণ (Species Identification):</b> বিভিন্ন উদ্ভিদ, ছত্রাক বা ব্যাকটেরিয়ার প্রজাতিকে দ্রুত আলাদা করতে ব্যবহৃত হয়।<br>২. <b>জেনেটিক ডাইভারসিটি (Genetic Diversity):</b> একটি নির্দিষ্ট জনসংখ্যার (population) মধ্যে কতটা জেনেটিক বৈচিত্র্য আছে তা দ্রুত পরীক্ষা করা (e.g., একটি বনের বিভিন্ন গাছের মধ্যে)।<br>৩. <b>প্রাথমিক ম্যাপিং (Preliminary Mapping):</b> কোনো নির্দিষ্ট বৈশিষ্ট্যের জন্য দায়ী জিনটি দ্রুত খুঁজে বের করার প্রথম ধাপ হিসেবে ব্যবহৃত হয়।"
