"Front","Back"
"<b>1. Why memorize Qur’an weekly?</b> 📖","<b>1. Memorize Qur’an weekly</b> 📖<br><ul><li>🌍 <b>Foundation:</b> Quran: <i>“Recite in the name of your Lord...”</i> (al-‘Alaq 96:1) — door to manhood.</li><li>🙏 <b>Safeguard:</b> Hadith: <i>“Retain... Qur’an... escapes sooner than a camel...”</i> (Bukhari) — don’t neglect.</li><li>💡 <b>Properly:</b> Consult reciter—avoid butchering short surahs (e.g., three Quls).</li></ul>"
"<b>2. Why get in shape?</b> 💪","<b>2. Get in shape</b> 💪<br><ul><li>🏃 <b>Health:</b> Hadith: <i>“Two blessings... health and free time”</i> (Bukhari) — fitness is key.</li><li>⚖️ <b>Strong believer:</b> Hadith: <i>“The strong believer is better...”</i> (Muslim) — Allah loves it.</li><li>🩺 <b>Obligation:</b> Yearly check-up, jog, push-ups—balance mind and body.</li></ul>"
"<b>3. Why avoid unhealthy foods?</b> 🍎","<b>3. Avoid unhealthy foods</b> 🍎<br><ul><li>🚫 <b>Harm:</b> Quran: <i>“Eat from the good things... do not transgress...”</i> (Ta Ha 20:81) — pure over junk.</li><li>🍯 <b>Prophet’s way:</b> Loved honey, organic—not sugary excess (‘Umar’s fear).</li><li>💡 <b>Character:</b> You become what you eat—avoid fat, sugar traps.</li></ul>"
"<b>4. Why grow your beard?</b> 🧔","<b>4. Grow your beard</b> 🧔<br><ul><li>📜 <b>Command:</b> Hadith: <i>“Trim your moustaches, let your beards grow”</i> (Bukhari) — no option.</li><li>🙏 <b>Sunnah’s weight:</b> Hadith: <i>“Follow my Sunnah...”</i> (at-Tirmidhi); Quran: <i>“If you love Allah, follow me...”</i> (Al ‘Imran 3:31) — salvation, not “just sunnah.”</li><li>💪 <b>Identity:</b> Shows confidence in Islam—don’t shave for others.</li></ul>"
"<b>5. Why be tolerant?</b> 🤝","<b>5. Be tolerant</b> 🤝<br><ul><li>🌟 <b>Blessing:</b> Hadith: <i>“I have not been sent to curse but to be a blessing”</i> (Muslim); Quran: <i>“We have not sent you except as a mercy...”</i> (al-Anbiya’ 21:107) — reflect this.</li><li>🕊️ <b>Security:</b> Hadith: <i>“A true believer... others feel secure”</i> (Bukhari); stood for Jewish funeral (Muslim) — respect all.</li><li>💡 <b>No bigotry:</b> Tolerance isn’t compromise—learn from history, experience.</li></ul>"
"<b>6. Why tell the truth?</b> 🗣️","<b>6. Tell the truth</b> 🗣️<br><ul><li>📜 <b>Justice:</b> Quran: <i>“Fear Allah and speak words of appropriate justice”</i> (al-Ahzab 33:70) — liars are cowards.</li><li>🙏 <b>Record:</b> Hadith: <i>“Keeps on telling the truth... recorded among the truthful”</i> (Bukhari) — builds honor.</li><li>💡 <b>Courage:</b> No respect for liars—truth sets men apart.</li></ul>"
"<b>7. Why fulfil promises and debts?</b> 🤝","<b>7. Fulfil promises and debts</b> 🤝<br><ul><li>📜 <b>Contracts:</b> Quran: <i>“Fulfil [all] contracts...”</i> (al-Ma’idah 5:1); <i>“He imposes blame... what your hearts have earned”</i> (al-Baqarah 2:225) — keep your word.</li><li>💰 <b>Debt:</b> Record loans, repay fast—honesty if late, no hiding.</li><li>💪 <b>Integrity:</b> Broken promises lose respect—be reliable.</li></ul>"
"<b>8. Why be brave?</b> ⚔️","<b>8. Be brave</b> ⚔️<br><ul><li>🌟 <b>Justice:</b> Quran: <i>“Never will fleeing benefit you...”</i> (al-Ahzab 33:16) — face danger for truth.</li><li>🙏 <b>Balance:</b> Avoid fights, apologize first—not aggressor or coward.</li><li>💡 <b>Taqwa:</b> Brave for Allah, not ego—trust Him, don’t run.</li></ul>"
"<b>9. Why keep a secret?</b> 🤫","<b>9. Keep a secret</b> 🤫<br><ul><li>📜 <b>Justice:</b> Quran: <i>“Be... witnesses for Allah, even if against yourselves...”</i> (an-Nisa’ 4:135) — report harm, else stay silent.</li><li>🙏 <b>Trust:</b> Hadith: <i>“Allah will hide the sins of anyone who hid...”</i> (Bukhari); tale-carriers punished (Bukhari) — no gossip.</li><li>💡 <b>Honor:</b> Betrayal kills trust—guard others’ confidence.</li></ul>"
"<b>10. Why be serious and noble?</b> 😊","<b>10. Be serious and noble</b> 😊<br><ul><li>🌟 <b>Dignity:</b> Hadith: <i>“If you knew what I know, you would laugh less...”</i> (Bukhari) — control laughter.</li><li>🤝 <b>Balance:</b> Smile, chuckle—don’t overdo jest or grumpiness.</li><li>💪 <b>Respect:</b> No rough play unless mutual—stay composed.</li></ul>"
"<b>11. Why be shy before Allah?</b> 🙈","<b>11. Be shy before Allah</b> 🙈<br><ul><li>📜 <b>Modesty:</b> Quran: <i>“Do not approach immoralities...”</i> (al-An‘am 6:151); Hadith: <i>“If you have no shame...”</i> (Bukhari) — avoid sin.</li><li>🙏 <b>Mercy:</b> Hadith: <i>“A servant committed a sin... I have forgiven you”</i> (Muslim) — hope for the weak.</li><li>💡 <b>Growth:</b> Shun bars, explicit media—angels shy too.</li></ul>"
"Front","Back"
"<b>12. Why volunteer?</b> 🤝","<b>12. Volunteer</b> 🤝<br><ul><li>🌟 <b>Respect:</b> Quran: <i>“...And cooperate in righteousness and piety...”</i> (al-Ma’idah 5:2) — earns honor.</li><li>💪 <b>Camaraderie:</b> Help all—builds friendships, uses time well.</li><li>🙏 <b>Sincerity:</b> Serve people to please Allah—shovel snow, improve lives.</li></ul>"
"<b>13. Why not be loud?</b> 🤫","<b>13. Do not be loud</b> 🤫<br><ul><li>🚫 <b>Civility:</b> Quran: <i>“...the most disagreeable of sounds is the voice of donkeys”</i> (Luqman 31:19) — stay polite.</li><li>😊 <b>Prophet’s way:</b> Hadith: Smiled at rude Bedouin (Bukhari) — calm, not screams.</li><li>💡 <b>Control:</b> Hadith: <i>“Do not become angry”</i> (Bukhari) — shouting shows weakness.</li></ul>"
"<b>14. Why practice Arabic?</b> 📜","<b>14. Practise your Arabic reading and writing</b> 📜<br><ul><li>🌍 <b>Qur’an’s key:</b> Unlock meanings—don’t rely on translations.</li><li>🙏 <b>Reward:</b> Hadith: <i>“Whoever stumbles through the Qur’an... double reward”</i> (Muslim) — even alif-ba’ counts.</li><li>💡 <b>Depth:</b> Full knowledge needs Arabic—don’t miss out.</li></ul>"
"<b>15. Why not stand with oppression?</b> ⚖️","<b>15. Do not stand with oppression and oppressors</b> ⚖️<br><ul><li>📜 <b>Justice:</b> Quran: <i>“...be persistently standing firm for Allah, witnesses in justice...”</i> (al-Ma’idah 5:8) — truth over friends.</li><li>🤝 <b>Advise:</b> Hadith: <i>“Help your brother... advise him”</i> (Bukhari) — correct, don’t defend wrong.</li><li>💡 <b>Neutrality:</b> Stay aloof—don’t side with lies for loyalty.</li></ul>"
"<b>16. Why honor women?</b> 👩","<b>16. Honour women</b> 👩<br><ul><li>🌟 <b>Best:</b> Hadith: <i>“The best of you are those who are best to their families...”</i> (at-Tirmidhi) — kindness to wife, mom, daughters.</li><li>💪 <b>Leadership:</b> Protect, honor their intellect, patience—Eve’s purpose (Ibn Katheer).</li><li>🙏 <b>Balance:</b> Compliment, be patient—lead, don’t control.</li></ul>"
"<b>17. Why excel in tasks?</b> 🛠️","<b>17. If a task is assigned to you, do it excellently</b> 🛠️<br><ul><li>📜 <b>Fairness:</b> Quran: <i>“Woe to those who give less [than due]...”</i> (al-Mutaffifeen 83:1-3) — don’t short-change.</li><li>💪 <b>Humility:</b> Prophets shepherded, Muhammad (ﷺ) built—do all well.</li><li>🌟 <b>Reflection:</b> Work shows you—sweep or sew excellently.</li></ul>"
"<b>18. Why give charity secretly?</b> 🤲","<b>18. Give charity in secret</b> 🤲<br><ul><li>🙏 <b>Effort:</b> Hadith: <i>“...left hand does not know what the right hand has given”</i> (Bukhari) — even 50 cents counts.</li><li>💡 <b>Purity:</b> Don’t steal deeds from yourself—share wealth.</li><li>🌟 <b>Allah sees:</b> He rewards your hidden good—don’t flaunt.</li></ul>"
