"front","Back"
"প্রযুক্তির ক্ষমতা বেশি হলে সেটিকে কীভাবে ব্যবহার করা উচিত?","অনেক বেশি সচেতনভাবে, কারণ অসচেতন ব্যবহারে অনেক বড় বিপদ হতে পারে।"
"ইন্টারনেট ব্যবহার করার সময় হঠাৎ করে কোনটি ছোট ঘরের ভেতর হাজির হয়?","পুরো পৃথিবী।"
"ইন্টারনেটে যেরকম চমৎকার ওয়েবসাইট রয়েছে, ঠিক সেরকম আর কী রয়েছে?","অনেক ভয়ংকর ও বিপজ্জনক ওয়েবসাইট, যেগুলো দেখা উচিত নয়।"
"ইন্টারনেটে কাদের সাথে যোগাযোগ হয়ে যেতে পারে?","পরিচিত মানুষের পাশাপাশি সম্পূর্ণ অপরিচিত মানুষের সাথেও।"
"অপরিচিত মানুষকে নিজের কোন তথ্যগুলো দেওয়া বিপদজনক?","পরিচয়, নাম, ঠিকানা, ফোন নম্বর, ছবি বা পাসওয়ার্ড।"
"ইন্টারনেট ব্যবহারের প্রথম নিয়মটি কী?","কখনো অপরিচিত মানুষকে নিজের পরিচয়, নাম, ঠিকানা আর পাসওয়ার্ড দিতে হয় না।"
"সাইবার জগতে কেন অসংযত, রূঢ় বা অশালীন হওয়া উচিত নয়?","কারণ সত্যিকার জীবনে আমরা এগুলো করি না এবং ইন্টারনেট আনন্দের জন্য, কারো ক্ষতি করার জন্য নয়।"
"কম্পিউটারে ইন্টারনেট ব্যবহারের জন্য পাঠ্যবইয়ে দেওয়া তিনটি নিয়ম কী কী?","(১) সবার চোখের সামনে ব্যবহার করা, (২) অপরিচিত কাউকে ব্যক্তিগত তথ্য বা পাসওয়ার্ড না দেওয়া, (৩) রূঢ় বা অশালীন না হওয়া।"
"‘সাইবার জগৎ’ (Cyber World) বলতে কী বোঝানো হয়েছে?","কম্পিউটার ও ইন্টারনেটের মাধ্যমে তৈরি হওয়া অদৃশ্য জগৎ।"
"চীন দেশে এক দম্পতিকে কেন গ্রেপ্তার করা হয়েছিল?","তারা কম্পিউটার গেম খেলার খরচ জোগাতে তাদের তিন সন্তানকে বিক্রি করে দিয়েছিল।"
"তারা কোন ধরনের কম্পিউটার গেমে আসক্ত ছিল?","এমএমও (Massively multiplayer online game)।"
"‘ভালো লাগা’ এবং ‘আসক্তি’র মধ্যে পার্থক্য কী?","ভালো লাগা স্বাভাবিক, কিন্তু আসক্তি হলো যখন কেউ কোনো কিছুতে যুক্তি বা কাণ্ডজ্ঞান হারিয়ে ফেলে এবং মাত্রা ছাড়িয়ে ফেলে।"
"কোনো কিছুতে আসক্তি জন্মেছে কি না তা কীভাবে বোঝা যায়?","যখনই দেখা যায় কেউ কোনো একটি কাজে ‘মাত্রা ছাড়িয়ে’ ফেলছে, তখনই বোঝা যায় সে আসক্ত।"
