"Front","Back"
"<b>Topic: Diabetes Mellitus Definition</b><br><br>What is Diabetes Mellitus and why does it happen?","<h3>Feynman Technique (Simple Bangla):</h3><div style=""text-align: left;"">ডায়াবেটিস হলো এমন একটি অবস্থা যখন আপনার শরীর রক্তে থাকা চিনিকে (Glucose) ব্যবহার করতে পারে না। এর কারণ দুটি: ১) ইনসুলিন নেই (চাবি হারিয়ে গেছে), অথবা ২) ইনসুলিন কাজ করছে না (চাবি জং ধরে গেছে)। ফলে রক্তে সুগার বেড়ে যায়।</div><br><h3>Analogy (লক এবং চাবি):</h3><div style=""text-align: left;"">কোষ (Cell) হলো একটি ঘর, আর গ্লুকোজ হলো অতিথি। ইনসুলিন হলো সেই ঘরের চাবি। চাবি না থাকলে অতিথি (গ্লুকোজ) ঘরের বাইরে (রক্তে) ভিড় জমাবে, ভেতরে ঢুকতে পারবে না।</div><br><b>Exam Question:</b> Why does blood sugar level increase in Diabetes Mellitus?"
"<b>Topic: Diabetes Diet Ratio (Macros)</b><br><br>What is the recommended distribution of Carbohydrate, Protein, and Fat for a Diabetic patient?","<h3>The Golden Ratio:</h3><div style=""text-align: left;""><ul><li><b>Carbohydrates:</b> 50-60% (মূল শক্তি)</li><li><b>Proteins:</b> 15-20% (রিপেয়ারের জন্য)</li><li><b>Fats:</b> 20-30% (কম খেতে হবে)</li></ul></div><br><h3>First Principle Thinking:</h3><div style=""text-align: left;"">শরীরের প্রধান জ্বালানি কার্বোহাইড্রেট, তাই এটিই বেশি লাগবে। কিন্তু সুগার স্পাইক এড়াতে ""Complex Carbs"" (যেমন লাল চাল) বেছে নিতে হবে, যা ধীরে হজম হয়।</div><br><b>Exam Question:</b> In a balanced diabetic diet, what percentage of total calories should come from carbohydrates?"
"<b>Topic: Complex vs. Simple Carbs</b><br><br>Why should Diabetics choose Complex Carbohydrates over Simple Sugars?","<h3>Concept:</h3><div style=""text-align: left;""><b>Complex Carbs</b> (শাকসবজি, হোল গ্রেইন) ধীরে হজম হয়, তাই রক্তে সুগার আস্তে আস্তে বাড়ে।<br><b>Simple Sugars</b> (চিনি, জুস) দ্রুত রক্তে মিশে সুগার স্পাইক ঘটায়।</div><br><h3>See-Link-Animate Story:</h3><div style=""text-align: left;"">ভাবুন ট্রাফিক জ্যাম।<br><b>Simple Carb:</b> হাইওয়েতে ১০০ স্পিডে চলা গাড়ি (হঠাৎ সুগার বেড়ে যাওয়া)।<br><b>Complex Carb:</b> বাম্পার ওয়ালা রাস্তায় ধীর গতির গাড়ি (সুগার নিয়ন্ত্রণে থাকা)।</div><br><b>Exam Question:</b> Why are whole grains preferred over white flour for diabetic patients?"
"<b>Topic: Fruit Juice vs. Whole Fruit</b><br><br>Why is whole fruit better than fruit juice for Diabetics?","<h3>The Reason:</h3><div style=""text-align: left;"">ফলের রসে (Juice) ফাইবার থাকে না, শুধু চিনি থাকে, যা দ্রুত সুগার বাড়ায়। আস্ত ফলে (Whole Fruit) ফাইবার থাকে, যা সুগার শোষণকে ধীর করে দেয়।</div><br><h3>Analogy (ছাঁকনি):</h3><div style=""text-align: left;"">জুস হলো বাঁধ ছাড়া নদীর মতো (বন্যা হয়ে যাবে)। আর আস্ত ফল হলো বাঁধ দেওয়া নদী (পানি নিয়ন্ত্রণে থাকবে)।</div><br><b>Case Study Question:</b> A diabetic patient asks if they can drink orange juice daily. What implies advice would you give and why?"
"<b>Topic: Fiber in Diabetes</b><br><br>How does Fiber help control blood sugar? (Mechanism)","<h3>Mechanism:</h3><div style=""text-align: left;"">ফাইবার (বিশেষ করে Soluble Fiber) অন্ত্রের মধ্যে একটি জেলের মতো আস্তরণ তৈরি করে। এটি গ্লুকোজ শোষণকে ধীর (Slow down) করে দেয়।</div><br><h3>Analogy (স্পঞ্জ):</h3><div style=""text-align: left;"">ফাইবার হলো স্পঞ্জের মতো। এটি অতিরিক্ত চিনি শুষে নেয় এবং রক্তে ধীরে ধীরে ছাড়ে, ফলে হঠাৎ করে সুগার বাড়ে না।</div><br><b>Exam Question:</b> How does high-fiber food prevent blood sugar spikes?"
"<b>Topic: Meal Frequency in Diabetes</b><br><br>Why are ""Small Frequent Meals"" recommended?","<h3>The Strategy:</h3><div style=""text-align: left;"">একবারে বেশি খেলে সুগার অনেক বেড়ে যায় (Hyperglycemia)। আবার না খেয়ে থাকলে সুগার কমে যায় (Hypoglycemia)। তাই অল্প অল্প করে বারবার খেলে সুগার লেভেল স্টেবল থাকে।</div><br><h3>Visual Example:</h3><div style=""text-align: left;"">আগুনে একবারে অনেক কাঠ দিলে দাউ দাউ করে জ্বলবে (Sugar Spike)। কিন্তু অল্প অল্প কাঠ দিলে আগুন নিয়ন্ত্রণে থাকবে (Stable Sugar)।</div><br><b>Exam Question:</b> Why should a diabetic patient on insulin avoid skipping meals?"
"<b>Topic: Obesity Management Goal</b><br><br>What is the realistic weight loss goal for Obesity management?","<h3>The Target:</h3><div style=""text-align: left;"">আগামী ৬ মাসের মধ্যে বর্তমান ওজনের <b>৫% থেকে ১০%</b> কমানো।</div><br><h3>Why?</h3><div style=""text-align: left;"">অবাস্তব লক্ষ্য (যেমন ১ মাসে ২০ কেজি) ঠিক করলে মানুষ হতাশ হয়ে ছেড়ে দেয়। ৫-১০% কমালেই স্বাস্থ্যের অনেক উন্নতি হয়।</div><br><b>Exam Question:</b> According to NIH, what is the recommended percentage of weight loss over six months?"
"<b>Topic: Caloric Restriction Math</b><br><br>How many calories should be reduced to lose 0.5-1 kg per week?","<h3>The Math:</h3><div style=""text-align: left;"">প্রতিদিন <b>৫০০ থেকে ১০০০ ক্যালোরি (kcal)</b> কম খেতে হবে।</div><br><h3>First Principle:</h3><div style=""text-align: left;"">১ পাউন্ড ফ্যাট ≈ ৩৫০০ ক্যালোরি।<br>যদি আপনি প্রতিদিন ৫০০ ক্যালোরি কম খান, তবে ৭ দিনে ৫০০ x ৭ = ৩৫০০ ক্যালোরি কমবে = ১ পাউন্ড (প্রায় ০.৫ কেজি) ওজন কমবে।</div><br><b>Case Study Question:</b> To achieve a weight loss of 0.5 kg/week, what should be the daily caloric deficit?"
"<b>Topic: Intermittent Fasting Methods</b><br><br>Explain the 16/8 and 5:2 methods of Intermittent Fasting.","<h3>Methods:</h3><div style=""text-align: left;""><ul><li><b>16/8 Method:</b> দিনে ৮ ঘণ্টা খাবেন, বাকি ১৬ ঘণ্টা উপবাস (Fasting)। যেমন: দুপুর ১২টা থেকে রাত ৮টা পর্যন্ত খাওয়া।</li><li><b>5:2 Diet:</b> সপ্তাহে ৫ দিন স্বাভাবিক খাওয়া, আর ২ দিন খুব কম ক্যালোরি (৫০০-৬০০ kcal) খাওয়া।</li></ul></div><br><h3>Analogy:</h3><div style=""text-align: left;"">আপনার পরিপাকতন্ত্রকে (Digestive System) ""ইঞ্জিন"" ভাবুন। ১৬ ঘণ্টা ফাস্টিং মানে ইঞ্জিনকে ঠান্ডা হওয়ার জন্য লম্বা ব্রেক দেওয়া।</div><br><b>Exam Question:</b> Describe the eating window in the 16/8 intermittent fasting method."
