"Front","Back"
"<b>Nutritional Status</b> (পুষ্টিগত অবস্থা) বলতে কি বুঝায়? [59, 67-71]","<b>1. First Principle:</b> এটি একটি ডায়নামিক অবস্থা যা দুটি জিনিসের ভারসাম্যের ওপর নির্ভর করে: ১) Nutrient Intake (খাবার গ্রহণ) এবং ২) Nutrient Utilization (শরীর তা কতটা ব্যবহার করতে পারছে)।<br><br><b>2. Feynman Technique:</b> মনে করো তোমার শরীর একটা ফ্যাক্টরি। ফ্যাক্টরিতে কাঁচামাল (খাবার) আসছে আর ফ্যাক্টরি সেটা দিয়ে পণ্য (শক্তি/বৃদ্ধি) তৈরি করছে। এই কাঁচামাল আসা আর কাজ করার বর্তমান অবস্থাই হলো Nutritional Status।<br><br><b>3. Analogy:</b> ব্যাংক ব্যালেন্স। কত টাকা জমা করছ (Intake) আর কত খরচ করছ (Requirement/Disease) তার ওপর ভিত্তি করে তোমার বর্তমান আর্থিক অবস্থা (Status) নির্ধারিত হয়।<br><br><b>4. Example:</b> একজন মানুষ প্রচুর খায় কিন্তু তার পেটে কৃমি আছে (Utilization সমস্যা), তাই তার Nutritional Status খারাপ।<br><br><b>5. See-Link-Animate:</b> কল্পনা করো তোমার পেটের ভেতর একটা দাঁড়িপাল্লা (Scale) আছে। একপাশে 'খাবার' আরেকপাশে 'শরীরের চাহিদা'। পাল্লাটি ব্যালেন্স থাকলে তুমি সুস্থ, একদিকে ঝুঁকলে Malnutrition।"
"<b>Internal vs External Factors</b> - Nutritional Status নির্ধারণে এদের ভূমিকা কি? [60-64, 76-93]","<b>1. First Principle:</b> পুষ্টির অবস্থা দুটি উৎস দ্বারা নিয়ন্ত্রিত হয়। Internal (শরীরের ভেতরের বিষয়) এবং External (পরিবেশগত বিষয়)।<br><br><b>2. Feynman Technique:</b> Internal হলো তোমার নিজের বডি (বয়স, লিঙ্গ, রোগ)। আর External হলো তোমার চারপাশ (খাবার পাওয়া যাচ্ছে কিনা, টাকা আছে কিনা, সংস্কৃতি)।<br><br><b>3. Analogy:</b> একটি চারাগাছ বড় হওয়া। Internal = গাছটির জিন বা জাত। External = মাটি, পানি, সূর্য।<br><br><b>4. Example:</b><br>- Internal: বাচ্চার বয়স (বাড়ন্ত বয়সে বেশি খাবার লাগে)।<br>- External: বাবার বেতন (বেশি হলে ভালো খাবার কিনবে)।<br><br><b>5. See-Link-Animate:</b> ভাবো তুমি একটি গেম খেলছ। তোমার ক্যারেক্টারের শক্তি (Internal) এবং গেমের পরিবেশ/লেভেল (External) দুটোর ওপর ভিত্তি করে তুমি জিতবে কি না তা ঠিক হচ্ছে।"
"<b>Household Food Security Model</b> - কিভাবে আয় থেকে পুষ্টি আসে? [98-129]","<b>1. First Principle:</b> এটি একটি চেইন রিঅ্যাকশন: আয় (Income) -> খাবার কেনা (Acquisition) -> খাবার ভাগ করা (Allocation) -> খাওয়া (Intake) -> হজম (Utilization)।<br><br><b>2. Feynman Technique:</b> টাকা থাকলেই পুষ্টি হয় না। টাকা দিয়ে খাবার কিনতে হবে, সেই খাবার বাড়ির সবাইকে সমান ভাগে দিতে হবে, খেতে হবে এবং শরীরকে সুস্থ থাকতে হবে যাতে খাবারটা হজম হয়।<br><br><b>3. Analogy:</b> একটি রিলে রেস (Relay Race)। ব্যাটনটি (পুষ্টি) হাতবদল হয়ে ফিনিশ লাইনে (শরীরে) পৌঁছাতে হয়। মাঝখানে কেউ হাত ফসকালে (যেমন: অসুখ হলে) রেস হেরে যাবে।<br><br><b>4. Example:</b> বাবার টাকা আছে, কিন্তু মা অসুস্থ বা ব্যস্ত থাকায় রান্না করতে পারল না (Allocation সমস্যা), তাই বাচ্চার পুষ্টি হলো না।<br><br><b>5. See-Link-Animate:</b> একটা ফ্লো-চার্ট কল্পনা করো: টাকার ব্যাগ -> বাজার -> রান্নাঘর -> খাবার টেবিল -> পেটের ভেতর -> মাসল তৈরি হচ্ছে।"
"<b>BMI (Body Mass Index)</b> এর সূত্র এবং <b>Adult Cut-offs</b> কি কি? [299, 308]","<b>1. First Principle:</b> ওজনের সাথে উচ্চতার গাণিতিক অনুপাত যা নির্দেশ করে ওজনের ভার শরীরে ঠিকমতো বন্টিত কিনা। সূত্র: $Weight (kg) / Height (m)^2$。<br><br><b>2. Feynman Technique:</b> তুমি তোমার উচ্চতা অনুযায়ী বেশি ভারী নাকি হালকা? এটা মাপার ক্যালকুলেটর হলো BMI।<br><br><b>3. Analogy:</b> একটি ব্রিজের লোড ক্যাপাসিটি। ব্রিজের দৈর্ঘ্যের (Height) তুলনায় কতটুকু ওজন (Weight) সে নিতে পারবে।<br><br><b>4. Example:</b><br>- <18.5: Underweight (হালকা)<br>- 18.5-24.9: Normal (ফিট)<br>- 25.0-29.9: Overweight (একটু ভারী)<br>- >30: Obese (অতিরিক্ত মোটা)<br><br><b>5. See-Link-Animate:</b> একটা ট্রাফিক লাইট কল্পনা করো। ১৮.৫ এর নিচে হলুদ (সাবধান), ১৮.৫-২৪.৯ সবুজ (চলো/ঠিক আছে), ২৫ এর উপরে লাল (বিপদ)।"
"<b>BMI for Children</b> - বড়দের সাথে পার্থক্য কি? [340-344]","<b>1. First Principle:</b> বাচ্চাদের চর্বি বয়স এবং লিঙ্গের সাথে সাথে বদলায়, তাই নির্দিষ্ট সংখ্যার বদলে 'Percentile' ব্যবহার করা হয়।<br><br><b>2. Feynman Technique:</b> বড়দের জন্য একটা ফিক্সড নম্বর (যেমন ২৫) থাকে। কিন্তু ৫ বছরের বাচ্চার ২৫ আর ১৫ বছরের বাচ্চার ২৫ এক কথা না। তাই দেখা হয় সে তার বয়সী ১০০ জন বাচ্চার মধ্যে কত তম।<br><br><b>3. Analogy:</b> ক্লাসের রেংক। তুমি পরীক্ষায় ৮০ পেয়েছ, এটা ভালো না খারাপ তা বোঝা যাবে বাকিরা কত পেয়েছে তার ওপর (Percentile)।<br><br><b>4. Example:</b><br>- <5th Percentile: Underweight<br>- >95th Percentile: Obese<br><br><b>5. See-Link-Animate:</b> একটা স্কুলের লাইন কল্পনা করো। উচ্চতা অনুযায়ী ১০০ জন বাচ্চা দাঁড়িয়ে আছে। প্রথম ৫ জন খুব রোগা (Underweight), শেষের ৫ জন খুব মোটা (Obese)।"
"<b>Waist Circumference</b> এর <b>Cut-offs</b> এবং এর গুরুত্ব কি? [317-319, 323]","<b>1. First Principle:</b> এটি পেটের চর্বি (Visceral Fat) মাপে, যা সরাসরি মেটাবলিক ডিজিজ (Diabetes, Heart disease) এর সাথে যুক্ত।<br><br><b>2. Feynman Technique:</b> ওজন মাপার চেয়ে কোমরের মাপ নেওয়া বেশি জরুরি। কারণ পেটের চর্বি হার্টের জন্য বেশি ক্ষতিকর।<br><br><b>3. Analogy:</b> আপেল বনাম নাশপাতি। আপেলের মতো পেট মোটা হলে হার্ট অ্যাটাকের রিস্ক বেশি।<br><br><b>4. Example:</b><br>- পুরুষ: >94 cm (Alert), >102 cm (High Risk/Obese)<br>- মহিলা: >80 cm (Alert), >88 cm (High Risk/Obese)<br><br><b>5. See-Link-Animate:</b> কোমরে একটা লাল ফিতা বাঁধা। পুরুষদের ফিতা ১০২ সেমি পার হলে সাইরেন বেজে উঠছে (Danger Alert)।"
"<b>Waist-Hip Ratio (WHR)</b> বলতে কি বুঝায়? [331-334]","<b>1. First Principle:</b> কোমর (Waist) এবং হিপ (Hip) এর পরিধরি অনুপাত। এটি 'Central Obesity' বা পেটের চর্বি নির্দেশ করে।<br><br><b>2. Feynman Technique:</b> তোমার কোমর কি তোমার হিপের চেয়েও চওড়া? যদি হয়, তবে বিপদ।<br><br><b>3. Analogy:</b> বালিঘড়ি (Hourglass) শেপ হলো ভালো (লো রিস্ক), আর ড্রাম শেপ হলো খারাপ (হাই রিস্ক)।<br><br><b>4. Example:</b><br>- পুরুষ: >0.95 (High Risk)<br>- মহিলা: >0.80 (High Risk)<br><br><b>5. See-Link-Animate:</b> একজন লোক যার পেট (Waist) একটা বিশাল বেলুনের মতো ফুলে হিপের চেয়ে বড় হয়ে গেছে। ডাক্তার তাকে লাল কার্ড দেখাচ্ছে।"
"<b>Marasmus</b> এর ক্লিনিক্যাল সাইনগুলো কি কি? [444, 458, 467-468]","<b>1. First Principle:</b> Severe Calorie Deficiency. শরীর বাঁচার জন্য নিজের মাংস (Muscle) এবং চর্বি (Fat) খেয়ে ফেলে।<br><br><b>2. Feynman Technique:</b> শরীরে জ্বালানি নেই, তাই শরীর নিজেকেই জ্বালিয়ে শক্তি নিচ্ছে। ফলে বাচ্চাটি হাড় জিরজিরে হয়ে যায়।<br><br><b>3. Analogy:</b> একটি শুকিয়ে যাওয়া গাছ, যার ডালে পাতা নেই, বাকল শুকিয়ে গেছে।<br><br><b>4. Example:</b> 'Old Man Face' (বৃদ্ধের মতো মুখ), চামড়া ঝুলে পড়া, কোনো ইডিমা (Edema) নেই।<br><br><b>5. See-Link-Animate:</b> কল্পনা করো একটি ছোট্ট বাচ্চা, কিন্তু তার মুখটা দেখতে দাদুর মতো (Old Man)। তার পাঁজরের হাড়গুলো গোনা যাচ্ছে।"
"<b>Kwashiorkor</b> এর ক্লিনিক্যাল সাইনগুলো কি কি? [445, 461, 471-476]","<b>1. First Principle:</b> Severe Protein Deficiency কিন্তু ক্যালোরি কিছুটা আছে। প্রোটিন না থাকায় রক্তনালী থেকে পানি বেরিয়ে টিস্যুতে জমে (Edema)।<br><br><b>2. Feynman Technique:</b> বাচ্চাটি ভাত বা চিনি খাচ্ছে (শক্তি পাচ্ছে) কিন্তু প্রোটিন পাচ্ছে না। তাই শরীর ফুলতে শুরু করে, যদিও সে অপুষ্টিতে ভুগছে।<br><br><b>3. Analogy:</b> স্পঞ্জ। শরীরটা স্পঞ্জের মতো পানি শুষে ফুলে গেছে।<br><br><b>4. Example:</b> 'Moon Face' (চাঁদের মতো গোল মুখ), পেটে ও পায়ে পানি জমা (Pitting Edema), চুলের রঙ তামাটে হওয়া।<br><br><b>5. See-Link-Animate:</b> একটা বাচ্চার মুখ চাঁদের মতো গোল (Moon Face), কিন্তু সে কাঁদছে (Misery)। তার পায়ে আঙুল দিয়ে চাপ দিলে গর্ত হয়ে যাচ্ছে (Edema)।"
